Target No.,Receptor,Group,Protein,rank_A_hypothesis,rank_B_balanced,rank_C_interface,rank_D_PAE_aware,rank_E_AFmultimer,rank_min,rank_max,rank_range,rank_median,in_top10_count,in_top20_count
5,ICAM1 / CD54,10,TKT,26,24,28,25,29,24,29,5,26.0,0,0
14,AXL,3,ANXA2,25,27,27,26,26,25,27,2,26.0,0,0
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,27,35,23,28,17,17,35,18,27.0,0,1
9,TEM8 / ANTXR1,4,THBS1,28,36,24,32,18,18,36,18,28.0,0,1
13,CD44,8,ALDOA,29,33,29,31,27,27,33,6,29.0,0,0
8,GLUT5 / SLC2A5,3,ANXA2,30,32,30,30,31,30,32,2,30.0,0,0
12,PD-L1 / CD274,2,ANXA2,31,30,32,29,34,29,34,5,31.0,0,0
3,EpCAM / EPCAM,8,ENO1,33,25,37,27,83,25,83,58,33.0,0,0
4,Tissue Factor / F3,3,ANXA2,32,31,33,34,39,31,39,8,33.0,0,0
9,TEM8 / ANTXR1,8,PKM,34,28,36,33,58,28,58,30,34.0,0,0
4,Tissue Factor / F3,8,PGK1,36,29,44,35,104,29,104,75,36.0,0,0
20,CXCR4,3,ANXA2,37,39,35,38,36,35,39,4,37.0,0,0
8,GLUT5 / SLC2A5,1,SLC3A2,35,37,34,37,37,34,37,3,37.0,0,0
17,RON / MST1R,8,LDHA,38,38,38,39,42,38,42,4,38.0,0,0
12,PD-L1 / CD274,9,PGK1,39,34,57,36,130,34,130,96,39.0,0,0
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,40,70,31,50,25,25,70,45,40.0,0,0
8,GLUT5 / SLC2A5,10,ENO1,41,41,47,42,71,41,71,30,42.0,0,0
15,MET / c-MET,9,ALDOA,42,43,40,43,51,40,51,11,43.0,0,0
15,MET / c-MET,10,ENO1,43,44,41,44,51,41,51,10,44.0,0,0
15,MET / c-MET,3,ANXA2,44,42,45,41,55,41,55,14,44.0,0,0
4,Tissue Factor / F3,10,ALDOA,45,40,64,40,108,40,108,68,45.0,0,0
17,RON / MST1R,7,ALDOA,46,46,48,46,60,46,60,14,46.0,0,0
17,RON / MST1R,4,MFGE8,47,53,43,52,43,43,53,10,47.0,0,0
1,TROP2 / TACSTD2,2,LGALS3BP,48,56,39,49,40,39,56,17,48.0,0,0
9,TEM8 / ANTXR1,7,LDHA,49,45,56,48,86,45,86,41,49.0,0,0
4,Tissue Factor / F3,9,TPI1,50,47,61,47,87,47,87,40,50.0,0,0
15,MET / c-MET,7,LDHA,51,50,55,51,78,50,78,28,51.0,0,0
17,RON / MST1R,6,GAPDH,52,52,54,55,72,52,72,20,54.0,0,0
17,RON / MST1R,3,ANXA2,54,54,49,57,60,49,60,11,54.0,0,0
17,RON / MST1R,9,ENO1,53,55,51,60,68,51,68,17,55.0,0,0
3,EpCAM / EPCAM,2,LGALS3BP,55,63,46,59,41,41,63,22,55.0,0,0
4,Tissue Factor / F3,6,GAPDH,56,49,70,53,97,49,97,48,56.0,0,0
20,CXCR4,7,LDHA,58,60,50,58,54,50,60,10,58.0,0,0
8,GLUT5 / SLC2A5,4,LGALS3BP,59,69,52,66,50,50,69,19,59.0,0,0
12,PD-L1 / CD274,5,MFGE8,60,71,53,68,53,53,71,18,60.0,0,0
3,EpCAM / EPCAM,10,PKM,61,48,77,45,108,45,108,63,61.0,0,0
2,EGFR,9,TPI1,57,62,60,64,76,57,76,19,62.0,0,0
15,MET / c-MET,6,GAPDH,62,57,71,63,94,57,94,37,63.0,0,0
4,Tissue Factor / F3,7,LDHA,63,51,81,54,126,51,126,75,63.0,0,0
13,CD44,6,GAPDH,64,64,65,61,69,61,69,8,64.0,0,0
20,CXCR4,6,GAPDH,65,72,62,71,56,56,72,16,65.0,0,0
20,CXCR4,8,PKM,66,73,63,72,56,56,73,17,66.0,0,0
1,TROP2 / TACSTD2,3,SDCBP,72,67,68,56,62,56,72,16,67.0,0,0
8,GLUT5 / SLC2A5,7,LDHA,67,59,78,65,97,59,97,38,67.0,0,0
2,EGFR,7,LDHA,68,79,66,78,67,66,79,13,68.0,0,0
13,CD44,9,ENO1,70,58,72,62,84,58,84,26,70.0,0,0
8,GLUT5 / SLC2A5,6,GAPDH,71,66,80,70,106,66,106,40,71.0,0,0
8,GLUT5 / SLC2A5,5,SDCBP,76,76,73,67,69,67,76,9,73.0,0,0
13,CD44,7,LDHA,73,74,76,73,79,73,79,6,74.0,0,0
12,PD-L1 / CD274,8,LDHA,75,61,92,69,154,61,154,93,75.0,0,0
17,RON / MST1R,10,TKT,69,77,69,76,77,69,77,8,76.0,0,0
8,GLUT5 / SLC2A5,9,PGK1,74,75,83,77,103,74,103,29,77.0,0,0
3,EpCAM / EPCAM,7,ALDOA,77,68,89,74,139,68,139,71,77.0,0,0
9,TEM8 / ANTXR1,2,ITGB1,78,89,67,86,45,45,89,44,78.0,0,0
15,MET / c-MET,5,HSP90AA1,79,82,74,82,58,58,82,24,79.0,0,0
12,PD-L1 / CD274,6,GAPDH,80,65,100,75,182,65,182,117,80.0,0,0
20,CXCR4,2,LGALS3BP,81,85,79,81,62,62,85,23,81.0,0,0
13,CD44,4,THBS1,82,96,59,87,35,35,96,61,82.0,0,0
19,IGF1R,10,TPI1,83,97,75,91,49,49,97,48,83.0,0,0
7,MUC1,9,PGK1,84,117,42,98,28,28,117,89,84.0,0,0
20,CXCR4,5,ITGB1,85,91,82,88,74,74,91,17,85.0,0,0
3,EpCAM / EPCAM,6,GAPDH,87,78,106,80,172,78,172,94,87.0,0,0
15,MET / c-MET,4,LGALS3BP,86,86,87,89,91,86,91,5,87.0,0,0
12,PD-L1 / CD274,1,LGALS3BP,88,84,88,85,100,84,100,16,88.0,0,0
11,LIV-1 / SLC39A6,10,PKM,97,88,91,84,88,84,97,13,88.0,0,0
9,TEM8 / ANTXR1,6,GAPDH,89,80,104,83,162,80,162,82,89.0,0,0
13,CD44,10,PKM,90,81,93,79,116,79,116,37,90.0,0,0
2,EGFR,3,FN1,91,118,58,105,33,33,118,85,91.0,0,0
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,93,94,90,92,95,90,95,5,93.0,0,0
9,TEM8 / ANTXR1,9,TPI1,94,83,113,93,173,83,173,90,94.0,0,0
11,LIV-1 / SLC39A6,1,SLC3A2,102,103,85,94,44,44,103,59,94.0,0,0
20,CXCR4,10,ENO1,95,87,99,90,123,87,123,36,95.0,0,0
10,GPNMB,9,ENO1,96,95,96,97,108,95,108,13,96.0,0,0
5,ICAM1 / CD54,4,MFGE8,92,93,97,96,119,92,119,27,96.0,0,0
16,ROR1,3,ANXA2,98,104,86,101,72,72,104,32,98.0,0,0
20,CXCR4,9,ALDOA,99,92,101,95,120,92,120,28,99.0,0,0
3,EpCAM / EPCAM,9,EEF1A1,100,100,95,99,96,95,100,5,99.0,0,0
8,GLUT5 / SLC2A5,8,ALDOA,101,99,105,103,126,99,126,27,103.0,0,0
4,Tissue Factor / F3,5,LGALS3BP,104,98,108,100,129,98,129,31,104.0,0,0
9,TEM8 / ANTXR1,10,ALDOA,105,90,129,102,189,90,189,99,105.0,0,0
4,Tissue Factor / F3,4,MFGE8,106,108,103,106,106,103,108,5,106.0,0,0
5,ICAM1 / CD54,7,LDHA,103,101,114,108,145,101,145,44,108.0,0,0
16,ROR1,9,PGK1,108,105,109,104,112,104,112,8,108.0,0,0
13,CD44,1,FN1,109,150,84,130,38,38,150,112,109.0,0,0
16,ROR1,4,LGALS3BP,115,115,111,110,101,101,115,14,111.0,0,0
16,ROR1,8,PKM,111,107,121,107,136,107,136,29,111.0,0,0
16,ROR1,6,GAPDH,112,110,119,111,130,110,130,20,112.0,0,0
5,ICAM1 / CD54,8,ENO1,107,102,125,112,163,102,163,61,112.0,0,0
3,EpCAM / EPCAM,3,SDCBP,120,114,116,109,114,109,120,11,114.0,0,0
5,ICAM1 / CD54,9,PKM,110,106,127,114,160,106,160,54,114.0,0,0
16,ROR1,2,ITGB1,119,116,115,113,108,108,119,11,115.0,0,0
14,AXL,2,ITGB1,116,130,102,124,79,79,130,51,116.0,0,0
5,ICAM1 / CD54,2,ITGA6,114,113,120,116,130,113,130,17,116.0,0,0
2,EGFR,1,ANXA2,117,112,134,117,167,112,167,55,117.0,0,0
2,EGFR,8,PKM,113,111,126,118,150,111,150,39,118.0,0,0
10,GPNMB,10,TKT,118,109,133,115,159,109,159,50,118.0,0,0
17,RON / MST1R,1,FN1,121,148,94,131,46,46,148,102,121.0,0,0
11,LIV-1 / SLC39A6,7,LDHA,136,134,122,120,88,88,136,48,122.0,0,0
17,RON / MST1R,2,ITGB1,122,122,123,121,124,121,124,3,122.0,0,0
4,Tissue Factor / F3,2,THBS1,124,132,112,126,90,90,132,42,124.0,0,0
15,MET / c-MET,2,ITGB1,123,125,124,125,120,120,125,5,124.0,0,0
19,IGF1R,2,ITGB1,126,144,110,134,81,81,144,63,126.0,0,0
10,GPNMB,4,MFGE8,127,119,130,119,133,119,133,14,127.0,0,0
20,CXCR4,1,FN1,129,160,98,147,48,48,160,112,129.0,0,0
2,EGFR,10,PGK1,128,121,146,129,179,121,179,58,129.0,0,0
2,EGFR,5,SDCBP,130,124,135,122,142,122,142,20,130.0,0,0
14,AXL,9,TPI1,131,127,150,132,171,127,171,44,132.0,0,0
16,ROR1,7,LDHA,132,120,147,123,163,120,163,43,132.0,0,0
10,GPNMB,5,ANXA2,133,126,141,127,156,126,156,30,133.0,0,0
4,Tissue Factor / F3,1,FN1,134,163,107,157,62,62,163,101,134.0,0,0
2,EGFR,6,GAPDH,125,123,145,135,183,123,183,60,135.0,0,0
13,CD44,3,MFGE8,137,146,137,141,124,124,146,22,137.0,0,0
11,LIV-1 / SLC39A6,9,ALDOA,148,133,148,128,137,128,148,20,137.0,0,0
20,CXCR4,4,MFGE8,139,131,159,136,179,131,179,48,139.0,0,0
13,CD44,2,ITGB1,143,139,140,138,133,133,143,10,139.0,0,0
14,AXL,7,PGK1,138,129,158,140,174,129,174,45,140.0,0,0
14,AXL,5,LGALS3BP,140,136,151,139,150,136,151,15,140.0,0,0
11,LIV-1 / SLC39A6,4,LGALS3BP,158,149,142,137,116,116,158,42,142.0,0,0
1,TROP2 / TACSTD2,5,MFGE8,141,138,154,142,161,138,161,23,142.0,0,0
11,LIV-1 / SLC39A6,8,PGK1,161,141,160,133,142,133,161,28,142.0,0,0
10,GPNMB,1,LGALS3BP,142,137,152,143,154,137,154,17,143.0,0,0
3,EpCAM / EPCAM,4,FN1,144,166,117,164,75,75,166,91,144.0,0,0
5,ICAM1 / CD54,6,GAPDH,135,128,169,145,198,128,198,70,145.0,0,0
19,IGF1R,3,ANXA2,146,154,143,152,133,133,154,21,146.0,0,0
2,EGFR,4,MFGE8,147,140,162,146,179,140,179,39,147.0,0,0
2,EGFR,2,LGALS3BP,145,147,155,148,152,145,155,10,148.0,0,0
10,GPNMB,8,ALDOA,149,135,166,144,187,135,187,52,149.0,0,0
14,AXL,8,LDHA,151,143,170,150,192,143,192,49,151.0,0,0
15,MET / c-MET,1,FN1,153,164,128,159,85,85,164,79,153.0,0,0
19,IGF1R,7,ENO1,150,153,156,156,148,148,156,8,153.0,0,0
18,CSPG4,1,FN1,154,168,118,161,65,65,168,103,154.0,0,0
5,ICAM1 / CD54,1,ITGB1,152,151,161,155,169,151,169,18,155.0,0,0
14,AXL,10,ALDOA,155,142,174,151,196,142,196,54,155.0,0,0
10,GPNMB,7,PGK1,156,145,171,149,187,145,187,42,156.0,0,0
18,CSPG4,6,GAPDH,157,165,136,168,97,97,168,71,157.0,0,0
19,IGF1R,4,MFGE8,163,158,164,154,145,145,164,19,158.0,0,0
14,AXL,4,MFGE8,159,152,167,153,177,152,177,25,159.0,0,0
19,IGF1R,1,FN1,160,169,131,167,82,82,169,87,160.0,0,0
11,LIV-1 / SLC39A6,6,GAPDH,177,162,178,160,156,156,178,22,162.0,0,0
19,IGF1R,8,LDHA,162,159,168,162,165,159,168,9,162.0,0,0
5,ICAM1 / CD54,5,THBS1,165,161,165,163,141,141,165,24,163.0,0,0
16,ROR1,10,TPI1,164,156,173,158,183,156,183,27,164.0,0,0
18,CSPG4,2,THBS1,166,172,149,170,102,102,172,70,166.0,0,0
18,CSPG4,7,LDHA,167,174,153,175,115,115,175,60,167.0,0,0
14,AXL,6,GAPDH,168,155,185,165,200,155,200,45,168.0,0,0
7,MUC1,6,GAPDH,170,178,132,169,65,65,178,113,169.0,0,0
9,TEM8 / ANTXR1,1,FN1,169,179,139,178,92,92,179,87,169.0,0,0
10,GPNMB,6,GAPDH,171,157,186,166,199,157,199,42,171.0,0,0
1,TROP2 / TACSTD2,4,FN1,172,180,144,180,92,92,180,88,172.0,0,0
3,EpCAM / EPCAM,5,CD44,182,187,138,172,46,46,187,141,172.0,0,0
19,IGF1R,5,LGALS3BP,176,170,177,173,156,156,177,21,173.0,0,0
18,CSPG4,10,ALDOA,173,175,163,177,128,128,177,49,173.0,0,0
10,GPNMB,3,THBS1,179,171,183,174,169,169,183,14,174.0,0,0
18,CSPG4,5,LGALS3BP,174,177,157,179,113,113,179,66,174.0,0,0
19,IGF1R,6,GAPDH,175,167,187,176,193,167,193,26,176.0,0,0
11,LIV-1 / SLC39A6,3,ANXA2,188,173,190,171,176,171,190,19,176.0,0,0
18,CSPG4,8,PGK1,178,181,172,182,138,138,182,44,178.0,0,0
18,CSPG4,9,PKM,180,182,180,183,145,145,183,38,180.0,0,0
19,IGF1R,9,PGK1,181,176,189,181,193,176,193,17,181.0,0,0
18,CSPG4,4,ITGB1,184,183,182,184,144,144,184,40,183.0,0,0
12,PD-L1 / CD274,4,FN1,183,184,179,186,140,140,186,46,183.0,0,0
10,GPNMB,2,FN1,185,186,175,185,118,118,186,68,185.0,0,0
18,CSPG4,3,MFGE8,187,185,184,188,148,148,188,40,185.0,0,0
14,AXL,1,FN1,186,188,176,187,122,122,188,66,186.0,0,0
16,ROR1,1,FN1,189,189,188,191,152,152,191,39,189.0,0,0
7,MUC1,3,FN1,190,192,181,189,105,105,192,87,189.0,0,0
5,ICAM1 / CD54,3,FN1,191,191,191,192,185,185,192,7,191.0,0,0
11,LIV-1 / SLC39A6,2,BSG,192,190,194,190,193,190,194,4,192.0,0,0
7,MUC1,7,PKM,193,193,192,193,186,186,193,7,193.0,0,0
7,MUC1,5,THBS1,194,194,196,195,190,190,196,6,194.0,0,0
11,LIV-1 / SLC39A6,5,SDCBP,196,195,195,194,165,165,196,31,195.0,0,0
7,MUC1,1,LGALS3BP,195,196,193,196,174,174,196,22,195.0,0,0
7,MUC1,8,TPI1,197,198,197,197,167,167,198,31,197.0,0,0
7,MUC1,10,EEF1A1,198,197,198,198,177,177,198,21,198.0,0,0
7,MUC1,4,MFGE8,199,199,199,199,191,191,199,8,199.0,0,0
7,MUC1,2,ANXA2,200,200,200,200,197,197,200,3,200.0,0,0
