Protein,UniProt_ID,BS_flag,Primary_evidence,Secondary_evidence,Localization_summary,Surface_evidence,EV_surface_evidence,Conflict_flag,BS_reason,Source_citations
ITGB1,P05556,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cell membrane ; Single-pass type I membrane protein . Cell projection, invadopodium membrane ; Single-pass type I membrane protein . Cell projection, ","transmembrane,signal-peptide","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Single-pass type I cell-membrane integrin (extracellular domain).,UniProt:P05556 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
LDHA,P00338,Low,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,Cytoplasm.,none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Cytoplasm only; no membrane/surface annotation.,UniProt:P00338 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
LGALS3BP,Q08380,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Secreted . Secreted, extracellular space, extracellular matrix .","signal-peptide,secreted/ECM","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Canonical secreted/ECM glycoprotein (signal peptide).,UniProt:Q08380 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
MFGE8,Q08431,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Membrane ; Peripheral membrane protein . Secreted . Cytoplasmic vesicle, secretory vesicle, acrosome membrane ; Peripheral membrane protein . Note=Loc","signal-peptide,secreted/ECM",PS-binding outer-leaflet (MFGE8),True,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",UniProt:Q08431 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
PGK1,P00558,Low,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cytoplasm, cytosol . Mitochondrion matrix . Note=Hypoxic conditions promote mitochondrial targeting (PubMed:26942675). Targeted to the mitochondrion f",none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Cytosol + mitochondrion only; no membrane/surface annotation.,UniProt:P00558 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
PKM,P14618,Low,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"[Isoform M2]: Cytoplasm . Nucleus . Note=Translocates to the nucleus in response to various signals, such as EGF receptor activation or apoptotic stim",none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Cytoplasm/nucleus; no cell-membrane/surface annotation.,UniProt:P14618 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
SDCBP,O00560,Medium,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cell junction, focal adhesion . Cell junction, adherens junction . Cell membrane ; Peripheral membrane protein . Endoplasmic reticulum membrane ; Peri",secreted/ECM,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",True,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,UniProt:O00560 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
SLC3A2,P08195,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,Apical cell membrane . Cell membrane ; Single-pass type II membrane protein . Cell junction . Lysosome membrane . Melanosome . Basolateral cell membra,transmembrane,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Single-pass type II cell-membrane protein (CD98hc).,UniProt:P08195 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
THBS1,P07996,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Secreted . Cell surface . Secreted, extracellular space, extracellular matrix . Endoplasmic reticulum . Sarcoplasmic reticulum . Note=Secreted by thro","signal-peptide,secreted/ECM","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Secreted matricellular; explicit 'Cell surface' annotation.,UniProt:P07996 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
TKT,P29401,Low,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,,none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Cytosolic transketolase (P29401); no membrane/surface annotation. (ExoCarta ID Q16832 was DDR2 — corrected.),UniProt:P29401 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
TPI1,P60174,Low,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,Cytoplasm .,none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Cytoplasm only; no membrane/surface annotation.,UniProt:P60174 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
