Target No.,Receptor,Group,Protein,Group_AB,ipTM_N,pTM_N,interface_PAE_N,mean_pLDDT_N,AFS_provisional
2,EGFR,7,LDHA,B,0.21875,0.3124999999999999,0.3195826140916591,0.8809823715732578,0.3519597478497375
2,EGFR,8,PKM,B,0.0781249999999999,0.3437499999999999,0.2241715675058331,0.8807118966575137,0.2735450196245019
2,EGFR,9,TPI1,B,0.1875,0.375,0.3496377104849489,0.908180481167492,0.3574227287478661
2,EGFR,10,PGK1,B,0.0625,0.28125,0.2314931890463079,0.859899407113137,0.2512088894239167
3,EpCAM / EPCAM,1,ANXA2,A,1.0,0.8906249999999999,1.0,0.9048902566576532,0.963858538498648
3,EpCAM / EPCAM,2,LGALS3BP,A,0.234375,0.4531249999999999,0.534661899656848,0.7361471366442307,0.3984338554451618
3,EpCAM / EPCAM,3,SDCBP,A,0.1249999999999999,0.375,0.4658054422761031,0.5447891309093376,0.289089185977816
3,EpCAM / EPCAM,4,FN1,A,0.28125,0.0156249999999999,0.0444020563456396,0.5693513101654202,0.2358130049766589
3,EpCAM / EPCAM,5,CD44,A,0.296875,0.1249999999999999,0.3543298816569755,0.0,0.2265869822485463
3,EpCAM / EPCAM,6,GAPDH,B,0.015625,0.4999999999999999,0.3516990386928829,0.9043794660343464,0.2962242757090844
3,EpCAM / EPCAM,7,ALDOA,B,0.046875,0.5312499999999999,0.4111284805171658,0.8795464557227327,0.3232887404359847
3,EpCAM / EPCAM,8,ENO1,B,0.109375,0.625,0.4811087674342612,0.9344625227294882,0.3920231935245624
3,EpCAM / EPCAM,9,EEF1A1,B,0.1718749999999999,0.28125,0.4246902962148948,0.6810827803098534,0.3080534614787121
3,EpCAM / EPCAM,10,PKM,B,0.0781249999999999,0.578125,0.3643073324969549,0.7839222725006321,0.326921940749638
4,Tissue Factor / F3,1,FN1,A,0.296875,0.0156249999999999,0.058348029928315,0.5774826205031199,0.2469370975647152
4,Tissue Factor / F3,2,THBS1,A,0.1718749999999999,0.3281249999999999,0.1620961177591238,0.6069201495613956,0.2669149400980778
4,Tissue Factor / F3,3,ANXA2,A,0.21875,0.5625,0.7511877054729338,0.8964459607609769,0.4690200499350865
4,Tissue Factor / F3,4,MFGE8,A,0.15625,0.2656249999999999,0.4474510885260134,0.7373028165193882,0.3089630857568102
4,Tissue Factor / F3,5,LGALS3BP,A,0.0781249999999999,0.4687499999999999,0.2464522184458444,0.771404722228805,0.2854910411011973
4,Tissue Factor / F3,6,GAPDH,B,0.109375,0.5156249999999999,0.5248518212639344,0.9117564037905032,0.3733037337581656
4,Tissue Factor / F3,7,LDHA,B,0.0625,0.5312499999999999,0.6111049087652969,0.866876428584853,0.3591972006025224
4,Tissue Factor / F3,8,PGK1,B,0.0781249999999999,0.59375,0.4711500871628824,0.9062792816423756,0.3644269053207886
4,Tissue Factor / F3,9,TPI1,B,0.140625,0.4687499999999999,0.5052871234933278,0.9026965859000556,0.3752600564090075
4,Tissue Factor / F3,10,ALDOA,B,0.0781249999999999,0.578125,0.4579865872178185,0.915296385279052,0.3606799458745305
5,ICAM1 / CD54,1,ITGB1,A,0.0781249999999999,0.2656249999999999,0.1978978297539283,0.7850945217207908,0.2396363527212077
5,ICAM1 / CD54,2,ITGA6,A,0.09375,0.390625,0.1829042038576613,0.8127592251661493,0.2743495143535716
5,ICAM1 / CD54,3,FN1,A,0.1249999999999999,0.0156249999999999,0.0,0.561157166063485,0.1497985749095227
5,ICAM1 / CD54,4,MFGE8,A,0.1249999999999999,0.3281249999999999,0.3360208993741237,0.8717913352295397,0.3092968351905494
5,ICAM1 / CD54,5,THBS1,A,0.109375,0.2656249999999999,0.1538055892437935,0.6287170095612629,0.2251908898207584
5,ICAM1 / CD54,6,GAPDH,B,0.015625,0.28125,0.1684176701247992,0.9633404306859346,0.23382621512161
5,ICAM1 / CD54,7,LDHA,B,0.09375,0.28125,0.270229927470674,0.945394624903352,0.2854686828561039
5,ICAM1 / CD54,8,ENO1,B,0.046875,0.390625,0.1658329024386535,0.9762820895481308,0.2728797487980177
5,ICAM1 / CD54,9,PKM,B,0.046875,0.421875,0.1359048849902659,0.917118577316852,0.2657660193460677
5,ICAM1 / CD54,10,TKT,B,0.328125,0.578125,0.4558914191460679,0.9770353366043986,0.4946265133625699
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,A,0.484375,0.3593749999999999,0.1866688367710698,0.5051849585647864,0.4178405693003784
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,A,0.75,0.6406249999999999,0.1035651076451901,0.6795490737729254,0.6205921272127174
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,A,0.578125,0.4843749999999999,0.2240778667463154,0.6322990416164685,0.5143940362544176
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,A,0.59375,0.5156249999999999,0.071432165843659,0.6320770029778601,0.5055263753232279
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,A,0.609375,0.5156249999999999,0.400486994074296,0.6288907257501509,0.5622191579736671
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,B,0.140625,0.40625,0.1116827547698219,0.7614168384108747,0.2825274389771045
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,B,0.859375,0.7187499999999999,0.3414514523740218,0.751109500115654,0.7373216428734515
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,B,0.78125,0.6718749999999999,0.018640852749347,0.7467912193437009,0.6398148108139572
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,B,0.78125,0.6718749999999999,0.0193059521012716,0.7462465822833343,0.6398328801576909
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,B,0.8125,0.6874999999999999,0.3088260660068124,0.7484073713168925,0.7023350155985557
7,MUC1,1,LGALS3BP,A,0.109375,0.1093749999999999,0.076003768953633,0.2893832249278302,0.1313705490822194
7,MUC1,2,ANXA2,A,0.0781249999999999,0.0624999999999999,0.1016682262985013,0.2626782404638239,0.1062144700143487
7,MUC1,3,FN1,A,0.21875,0.0156249999999999,0.0604650993676436,0.3133791440256457,0.1685766365089933
7,MUC1,4,MFGE8,A,0.109375,0.0,0.0797441552372894,0.2960484787263786,0.1110563950945502
7,MUC1,5,THBS1,A,0.0781249999999999,0.1406249999999999,0.0084776993428662,0.3900138608307237,0.1269612340260384
7,MUC1,6,GAPDH,B,0.28125,0.0781249999999999,0.1390028744305956,0.3152575410027416,0.2243890623150005
7,MUC1,7,PKM,B,0.0781249999999999,0.1718749999999999,0.0468419572396056,0.3702436122025748,0.136000335416327
7,MUC1,8,TPI1,B,0.140625,0.0156249999999999,0.0678407874022113,0.2306742814243901,0.1182147603239901
7,MUC1,9,PGK1,B,0.4531249999999999,0.1562499999999999,0.2129260874588345,0.3177978897968841,0.3374210965883577
7,MUC1,10,EEF1A1,B,0.1249999999999999,0.0468749999999999,0.0762086746681459,0.2256418606992744,0.117152580305113
8,GLUT5 / SLC2A5,1,SLC3A2,A,0.2499999999999999,0.5156249999999999,0.5124423537433391,0.8221644016269732,0.4283160133055467
8,GLUT5 / SLC2A5,2,BSG,A,0.515625,0.625,0.7147175793490432,0.8259349161494847,0.6139103743247791
8,GLUT5 / SLC2A5,3,ANXA2,A,0.3125,0.5156249999999999,0.5746795385050891,0.8164798408628972,0.4680489069051979
8,GLUT5 / SLC2A5,4,LGALS3BP,A,0.21875,0.40625,0.4958460551244006,0.7917331370516686,0.3837618788264104
8,GLUT5 / SLC2A5,5,SDCBP,A,0.15625,0.546875,0.4329210473159599,0.6023626014264583,0.3427925473113627
8,GLUT5 / SLC2A5,6,GAPDH,B,0.09375,0.5156249999999999,0.3529907696484432,0.8959295915758881,0.3373380541836496
8,GLUT5 / SLC2A5,7,LDHA,B,0.109375,0.5156249999999999,0.3583511574714255,0.8660584822389635,0.3414739459565583
8,GLUT5 / SLC2A5,8,ALDOA,B,0.09375,0.40625,0.2518954797823359,0.849148172947867,0.2932815479095304
8,GLUT5 / SLC2A5,9,PGK1,B,0.109375,0.4687499999999999,0.3798102972635899,0.8919732876721183,0.3392050377403562
8,GLUT5 / SLC2A5,10,ENO1,B,0.1718749999999999,0.4843749999999999,0.3966791294762868,0.9421429747070784,0.3836358156275047
9,TEM8 / ANTXR1,1,FN1,A,0.2499999999999999,0.0,0.0475743754758525,0.5282174244070568,0.2113687699824363
9,TEM8 / ANTXR1,2,ITGB1,A,0.2499999999999999,0.3281249999999999,0.32719612179114,0.7445050627476717,0.3513801776808217
9,TEM8 / ANTXR1,3,MFGE8,A,0.5312499999999999,0.4531249999999999,0.6689319784427663,0.8664139531241105,0.5865518897350315
9,TEM8 / ANTXR1,4,THBS1,A,0.59375,0.375,0.4251199953536299,0.6632015338520907,0.5351232293808581
9,TEM8 / ANTXR1,5,ANXA2,A,0.5625,0.625,0.7545351023595146,0.9279873356419772,0.6586283657002238
9,TEM8 / ANTXR1,6,GAPDH,B,0.0312499999999999,0.4687499999999999,0.3530733015966755,0.9291459280598532,0.3017078844484792
9,TEM8 / ANTXR1,7,LDHA,B,0.140625,0.4843749999999999,0.4303893364891067,0.9306030920300592,0.3713363642778748
9,TEM8 / ANTXR1,8,PKM,B,0.15625,0.59375,0.4820808615412983,0.9267010811501776,0.4081922914037214
9,TEM8 / ANTXR1,9,TPI1,B,0.0312499999999999,0.4375,0.3514970241099084,0.9544031608834972,0.2990100277490108
9,TEM8 / ANTXR1,10,ALDOA,B,0.0,0.4531249999999999,0.2337850686422652,0.9603102371313048,0.2697392958660355
10,GPNMB,1,LGALS3BP,A,0.0781249999999999,0.3281249999999999,0.2699936682787254,0.7016003003248867,0.2504265952905417
10,GPNMB,2,FN1,A,0.203125,0.0312499999999999,0.0400630780984582,0.4624607771962897,0.1831910782942121
10,GPNMB,3,THBS1,A,0.0781249999999999,0.2656249999999999,0.1165530281654416,0.5907867072987144,0.1982884603196233
10,GPNMB,4,MFGE8,A,0.09375,0.375,0.3212375366105953,0.6536610753168187,0.2681097917891121
10,GPNMB,5,ANXA2,A,0.0625,0.375,0.2793231880597804,0.721696904267113,0.256403013849034
10,GPNMB,6,GAPDH,B,0.0,0.3281249999999999,0.1638957697160054,0.8066067957074232,0.2112003848135142
10,GPNMB,7,PGK1,B,0.0312499999999999,0.3437499999999999,0.2562238799815816,0.7540084049273426,0.2359098427363385
10,GPNMB,8,ALDOA,B,0.0312499999999999,0.3437499999999999,0.2176480660595853,0.7864363736649467,0.2349876659586797
10,GPNMB,9,ENO1,B,0.1249999999999999,0.390625,0.2694859262262424,0.8046541782917888,0.3017460156777046
10,GPNMB,10,TKT,B,0.0312499999999999,0.4999999999999999,0.1183200239768308,0.8534882464412706,0.2613962405627151
11,LIV-1 / SLC39A6,1,SLC3A2,A,0.203125,0.5156249999999999,0.514860994981607,0.4121795590119251,0.3437435830990298
11,LIV-1 / SLC39A6,2,BSG,A,0.046875,0.2343749999999999,0.3627788316868403,0.3128511408923794,0.1716569958868829
11,LIV-1 / SLC39A6,3,ANXA2,A,0.0312499999999999,0.421875,0.3988813543313899,0.3512441911480257,0.2125188318219123
11,LIV-1 / SLC39A6,4,LGALS3BP,A,0.109375,0.40625,0.3997708633725069,0.4122117646896201,0.257734894209319
11,LIV-1 / SLC39A6,5,SDCBP,A,0.09375,0.2031249999999999,0.2179407449104121,0.1193758158953702,0.1380974841208673
11,LIV-1 / SLC39A6,6,GAPDH,B,0.046875,0.4375,0.3395670164899032,0.484444038753496,0.2345391582865098
11,LIV-1 / SLC39A6,7,LDHA,B,0.140625,0.4531249999999999,0.4825791353440629,0.3983875335257333,0.2930825003304694
11,LIV-1 / SLC39A6,8,PGK1,B,0.046875,0.4999999999999999,0.4561961181275363,0.4482049394313687,0.2590976586338357
11,LIV-1 / SLC39A6,9,ALDOA,B,0.0625,0.4843749999999999,0.4069033981089414,0.521556651626932,0.267394007460381
11,LIV-1 / SLC39A6,10,PKM,B,0.109375,0.578125,0.374147621317366,0.5750736483283837,0.3126956904468624
12,PD-L1 / CD274,1,LGALS3BP,A,0.1249999999999999,0.4531249999999999,0.3467262016538482,0.7514310661169542,0.3178485901656203
12,PD-L1 / CD274,2,ANXA2,A,0.28125,0.546875,0.6007235204777164,0.7911745171750815,0.4587847056479197
12,PD-L1 / CD274,3,SDCBP,A,0.5312499999999999,0.4531249999999999,0.5950651374385145,0.6473111309707468,0.5426064402613892
12,PD-L1 / CD274,4,FN1,A,0.1718749999999999,0.0312499999999999,0.035443738800489,0.5733448911445558,0.1835057944917566
12,PD-L1 / CD274,5,MFGE8,A,0.2499999999999999,0.28125,0.5366866436209656,0.7850856707494336,0.3795158471555598
12,PD-L1 / CD274,6,GAPDH,B,0.0,0.5312499999999999,0.2832508579519831,0.930398979901674,0.2882974756780485
12,PD-L1 / CD274,7,ENO1,B,0.296875,0.7031249999999999,0.6311516480532349,0.9520116102851568,0.5265369887507587
12,PD-L1 / CD274,8,LDHA,B,0.0312499999999999,0.5156249999999999,0.3556466594638086,0.8958512355503656,0.306474684252126
12,PD-L1 / CD274,9,PGK1,B,0.046875,0.578125,0.3819066226845906,0.9386059959892904,0.3371393928010822
12,PD-L1 / CD274,10,TPI1,B,0.953125,0.796875,0.96700352051896,0.999411629675215,0.9308997725291264
13,CD44,1,FN1,A,0.3593749999999999,0.0468749999999999,0.0676759960789673,0.5298695272727332,0.278694328502755
13,CD44,2,ITGB1,A,0.09375,0.375,0.2783778445183303,0.5873764031407104,0.2517381371488561
13,CD44,3,MFGE8,A,0.15625,0.1718749999999999,0.4516081562838191,0.591214261517449,0.2689233626701902
13,CD44,4,THBS1,A,0.296875,0.3593749999999999,0.2779638430140657,0.5561931958957084,0.3454360558364661
13,CD44,5,LGALS3BP,A,0.8125,0.6406249999999999,0.7852711783175883,0.6820259831953281,0.7544695742269375
13,CD44,6,GAPDH,B,0.15625,0.546875,0.6877699341424113,0.7413955996922155,0.401874830075194
13,CD44,7,LDHA,B,0.140625,0.5312499999999999,0.6711071216573298,0.7253406797445667,0.3860296702102844
13,CD44,8,ALDOA,B,0.390625,0.546875,0.6521459531998931,0.7139375971313376,0.5096000325496846
13,CD44,9,ENO1,B,0.109375,0.609375,0.4299907659360866,0.7805812561673756,0.3581483033155193
13,CD44,10,PKM,B,0.0625,0.59375,0.3078112121527607,0.7343917153350957,0.3063304391231785
14,AXL,1,FN1,A,0.203125,0.0,0.0339124881964891,0.4841794563526337,0.1792762916823684
14,AXL,2,ITGB1,A,0.21875,0.2187499999999999,0.2938102562753542,0.6251743596571289,0.2909726923898724
14,AXL,3,ANXA2,A,0.4531249999999999,0.421875,0.5602044124164766,0.8159678715004582,0.5173633425875402
14,AXL,4,MFGE8,A,0.0781249999999999,0.2343749999999999,0.2559235724206238,0.707219217284459,0.2304089184557623
14,AXL,5,LGALS3BP,A,0.0781249999999999,0.3437499999999999,0.2903858583198886,0.6850191793487929,0.2541232556503021
14,AXL,6,GAPDH,B,0.0,0.3124999999999999,0.1654234635646163,0.8458084563456365,0.2141847879865379
14,AXL,7,PGK1,B,0.046875,0.3593749999999999,0.248171019151564,0.7696864206097015,0.2479911159641898
14,AXL,8,LDHA,B,0.0312499999999999,0.3124999999999999,0.1986303776247022,0.8224532577972866,0.2312875453132982
14,AXL,9,TPI1,B,0.0625,0.3124999999999999,0.2686136810343544,0.8074615468412536,0.2551612841813411
14,AXL,10,ALDOA,B,0.015625,0.3437499999999999,0.1916395228114767,0.8347412463207361,0.2305196153698319
15,MET / c-MET,1,FN1,A,0.21875,0.1718749999999999,0.0970921084719782,0.5259941100251018,0.2372129327745619
15,MET / c-MET,2,ITGB1,A,0.109375,0.375,0.1632384162962058,0.7241562268388543,0.262796696470259
15,MET / c-MET,3,ANXA2,A,0.1718749999999999,0.5625,0.2293152573408317,0.8566014138588774,0.3613250006799563
15,MET / c-MET,4,LGALS3BP,A,0.140625,0.4375,0.261626729847848,0.7992791367290859,0.3169483799865401
15,MET / c-MET,5,HSP90AA1,A,0.203125,0.40625,0.3220153165011244,0.7583696892077095,0.344870250856325
15,MET / c-MET,6,GAPDH,B,0.109375,0.546875,0.2400343898426218,0.9110067068788952,0.3367186645082275
15,MET / c-MET,7,LDHA,B,0.140625,0.546875,0.2373211952919193,0.9011722026674672,0.350461509693908
15,MET / c-MET,8,PGK1,B,0.59375,0.6406249999999999,0.6883209614589387,0.9089335261606007,0.664588173142931
15,MET / c-MET,9,ALDOA,B,0.1875,0.5312499999999999,0.2205997062506735,0.9035912360799256,0.3686286413495898
15,MET / c-MET,10,ENO1,B,0.1875,0.5312499999999999,0.2227684488122806,0.9034859447489824,0.3689381590341895
16,ROR1,1,FN1,A,0.15625,0.0156249999999999,0.0315177570220041,0.5280864504466486,0.1651906311202979
16,ROR1,2,ITGB1,A,0.1249999999999999,0.390625,0.2640143505331677,0.6249020189652505,0.2739624554247626
16,ROR1,3,ANXA2,A,0.203125,0.3437499999999999,0.4139598602156673,0.6814721924633298,0.3346273079018495
16,ROR1,4,LGALS3BP,A,0.140625,0.375,0.3023516386442473,0.6152862599208486,0.2829581847847644
16,ROR1,5,MFGE8,A,0.6718750000000001,0.40625,0.6274611624464373,0.5293273083607575,0.5907057706210792
16,ROR1,6,GAPDH,B,0.09375,0.390625,0.4103826032318004,0.7562497616644794,0.299994854734442
16,ROR1,7,LDHA,B,0.046875,0.390625,0.3497279390971958,0.7409936263306017,0.2651707348141696
16,ROR1,8,PKM,B,0.0625,0.4999999999999999,0.2978102995146567,0.7483318150945858,0.2881713171913863
16,ROR1,9,PGK1,B,0.109375,0.4375,0.4363450768804058,0.6473921965911158,0.3047480910207282
16,ROR1,10,TPI1,B,0.0625,0.2656249999999999,0.3203539577298605,0.7050153996000768,0.2381804035994905
17,RON / MST1R,1,FN1,A,0.28125,0.1875,0.1248170591529839,0.5163300557424518,0.2742970672343153
17,RON / MST1R,2,ITGB1,A,0.109375,0.3593749999999999,0.3824141034682959,0.7368136521174727,0.2944466633378653
17,RON / MST1R,3,ANXA2,A,0.1718749999999999,0.5312499999999999,0.2237533873012864,0.8512539002368151,0.3534385931307151
17,RON / MST1R,4,MFGE8,A,0.203125,0.5312499999999999,0.2857791545336903,0.8094796879862579,0.3721013263779922
17,RON / MST1R,5,THBS1,A,0.828125,0.3593749999999999,0.494997347007361,0.6549008503317101,0.6584222296008606
17,RON / MST1R,6,GAPDH,B,0.15625,0.5312499999999999,0.3448835050367864,0.904728368082595,0.3718167809679071
17,RON / MST1R,7,ALDOA,B,0.1718749999999999,0.5312499999999999,0.286133878565563,0.90861354677178,0.3713996138006014
17,RON / MST1R,8,LDHA,B,0.203125,0.5625,0.3260599808192135,0.9036808392526569,0.3985236230107806
17,RON / MST1R,9,ENO1,B,0.1718749999999999,0.4999999999999999,0.316398110514277,0.9285338113767266,0.3726772882836504
17,RON / MST1R,10,TKT,B,0.1718749999999999,0.4375,0.2300430365722108,0.943129947876674,0.3494134476673327
18,CSPG4,1,FN1,A,0.28125,0.0781249999999999,0.1011679894305317,0.4393345445732562,0.2373253801005681
18,CSPG4,2,THBS1,A,0.203125,0.1093749999999999,0.0766875728095224,0.5646224262078678,0.2196339998526085
18,CSPG4,3,MFGE8,A,0.15625,0.0312499999999999,0.0425045358181063,0.5909785794482271,0.1793974672899499
18,CSPG4,4,ITGB1,A,0.140625,0.1093749999999999,0.0374309434595251,0.5683083149802796,0.1830483887659706
18,CSPG4,5,LGALS3BP,A,0.203125,0.0624999999999999,0.096503123951484,0.5749849136385379,0.2147857056385032
18,CSPG4,6,GAPDH,B,0.21875,0.0781249999999999,0.054560938153002,0.6257973300760674,0.2270537402343604
18,CSPG4,7,LDHA,B,0.203125,0.0468749999999999,0.0416733832299246,0.6406918481055724,0.2132922847003245
18,CSPG4,8,PGK1,B,0.1718749999999999,0.0468749999999999,0.0512373422263587,0.6340435773693307,0.1981046379393533
18,CSPG4,9,PKM,B,0.140625,0.09375,0.0240313163452241,0.6262374126687769,0.1866028093521001
18,CSPG4,10,ALDOA,B,0.1718749999999999,0.09375,0.0442521401733044,0.634462559734554,0.2064947049861787
19,IGF1R,1,FN1,A,0.2499999999999999,0.0781249999999999,0.0834592606769696,0.507973835562121,0.2293399644358635
19,IGF1R,2,ITGB1,A,0.21875,0.2031249999999999,0.3141281529229824,0.5858188461669193,0.2849920498634852
19,IGF1R,3,ANXA2,A,0.140625,0.1875,0.2411008321126093,0.672378263976029,0.2448343644132957
19,IGF1R,4,MFGE8,A,0.09375,0.28125,0.2033084161136451,0.6150617700920726,0.2258805279308576
19,IGF1R,5,LGALS3BP,A,0.109375,0.1875,0.169683947907461,0.5844716306490887,0.2053108367834824
19,IGF1R,6,GAPDH,B,0.0625,0.1718749999999999,0.1810024526436807,0.7412191786019515,0.2039582446868448
19,IGF1R,7,ENO1,B,0.109375,0.2187499999999999,0.2425655300735449,0.7460229190452745,0.2467257673678229
19,IGF1R,8,LDHA,B,0.09375,0.2031249999999999,0.1709718784580882,0.7284938232067228,0.2224198552497216
19,IGF1R,9,PGK1,B,0.0625,0.1718749999999999,0.1634137207559109,0.6676795147449159,0.190288985325124
19,IGF1R,10,TPI1,B,0.2656249999999999,0.2499999999999999,0.2172527576843138,0.718942119367862,0.3232417315578263
20,CXCR4,1,FN1,A,0.3125,0.0624999999999999,0.1061349346456235,0.5270585292600869,0.2637290195858565
20,CXCR4,2,LGALS3BP,A,0.203125,0.390625,0.4628348580706745,0.6768376779712892,0.3506383804062946
20,CXCR4,3,ANXA2,A,0.2656249999999999,0.4843749999999999,0.721749354855791,0.7313457349832319,0.4476517634758534
20,CXCR4,4,MFGE8,A,0.0625,0.28125,0.4071779828885231,0.7025985057921894,0.2539664733021068
20,CXCR4,5,ITGB1,A,0.1875,0.390625,0.3726489775192352,0.6911559858603413,0.3314457445069365
20,CXCR4,6,GAPDH,B,0.203125,0.421875,0.6547019270817127,0.7985273947355809,0.403921898272594
20,CXCR4,7,LDHA,B,0.203125,0.4531249999999999,0.6784614382035725,0.7429977948017684,0.4054063849508011
20,CXCR4,8,PKM,B,0.203125,0.421875,0.6528967884256303,0.7981481002337603,0.4035942332989086
20,CXCR4,9,ALDOA,B,0.09375,0.4375,0.5494273780774399,0.7690514143036193,0.3321468188571589
20,CXCR4,10,ENO1,B,0.0781249999999999,0.4999999999999999,0.3484013983327277,0.8041999233522991,0.3119526982527539
