Target No.,Receptor,Group,Protein,Mean pLDDT,Max PAE,Mean PAE,Median PAE,PAE Range(min-max),pTM,ipTM,ipTM_N,pTM_N,mean_pLDDT_N,median_PAE_N
8,GLUT5 / SLC2A5,3,ANXA2,83.78832142857144,31.61,14.82380496031746,17.95,0.75-31.61,0.61,0.33,0.3125,0.5156249999999999,0.8164798408628972,0.4682675814751287
8,GLUT5 / SLC2A5,4,LGALS3BP,82.63349250936331,31.66,18.69327273492405,22.86,0.75-31.66,0.54,0.27,0.21875000000000003,0.40625,0.7917331370516686,0.29982847341337915
8,GLUT5 / SLC2A5,5,SDCBP,73.79633291614519,31.69,17.8120344736302,21.61,0.75-31.69,0.63,0.23,0.15625,0.546875,0.6023626014264583,0.3427101200686107
8,GLUT5 / SLC2A5,6,GAPDH,87.49592105263157,31.67,16.28412079908884,21.16,0.75-31.67,0.61,0.19,0.09375,0.5156249999999999,0.8959295915758881,0.358147512864494
8,GLUT5 / SLC2A5,7,LDHA,86.10195678271307,31.67,16.43458005531144,20.67,0.75-31.67,0.61,0.2,0.10937500000000001,0.5156249999999999,0.8660584822389635,0.3749571183533448
8,GLUT5 / SLC2A5,8,ALDOA,85.31282080924855,31.58,17.69513376323967,25.64,0.75-31.58,0.54,0.19,0.09375,0.40625,0.849148172947867,0.20445969125214414
8,GLUT5 / SLC2A5,9,PGK1,87.31129629629629,31.66,16.47056411114434,22.33,0.75-31.66,0.58,0.2,0.10937500000000001,0.4687499999999999,0.8919732876721183,0.31801029159519734
8,GLUT5 / SLC2A5,10,ENO1,89.65251336898395,31.66,15.8859478509537,20.66,0.75-31.66,0.59,0.24,0.17187499999999997,0.4843749999999999,0.9421429747070784,0.3753001715265867
9,TEM8 / ANTXR1,1,FN1,70.336276364979,31.7,29.57244844806436,31.4,0.8-31.7,0.28,0.29,0.24999999999999994,0.0,0.5282174244070568,0.006861063464837169
9,TEM8 / ANTXR1,2,ITGB1,80.4295486459378,31.67,21.28809713996554,27.33,0.75-31.67,0.49,0.29,0.24999999999999994,0.32812499999999994,0.7445050627476717,0.1464837049742711
9,TEM8 / ANTXR1,3,MFGE8,86.11854517611026,31.52,15.49323290549684,16.31,0.75-31.52,0.57,0.47,0.5312499999999999,0.4531249999999999,0.8664139531241105,0.5245283018867926
9,TEM8 / ANTXR1,4,THBS1,76.63544066620402,31.72,23.3649146127511,29.53,0.75-31.72,0.52,0.51,0.59375,0.375,0.6632015338520907,0.07101200686106346
9,TEM8 / ANTXR1,5,ANXA2,88.99192675159236,31.69,12.08111213943771,13.46,0.75-31.69,0.68,0.49,0.5625,0.625,0.9279873356419773,0.6222984562607203
9,TEM8 / ANTXR1,6,GAPDH,89.04599358974359,31.69,15.93216497678337,20.55,0.75-31.69,0.58,0.15,0.031249999999999983,0.4687499999999999,0.9291459280598531,0.37907375643224694
9,TEM8 / ANTXR1,7,LDHA,89.11399355877617,31.59,15.01818647394857,19.48,0.75-31.59,0.59,0.22,0.140625,0.4843749999999999,0.9306030920300591,0.4157804459691252
9,TEM8 / ANTXR1,8,PKM,88.9319024390244,31.66,15.30872952111838,13.17,0.75-31.66,0.66,0.23,0.15625,0.59375,0.9267010811501775,0.6322469982847342
9,TEM8 / ANTXR1,9,TPI1,90.2246468401487,31.55,15.44210538135184,21.92,0.75-31.55,0.56,0.15,0.031249999999999983,0.43750000000000006,0.9544031608834972,0.33207547169811313
9,TEM8 / ANTXR1,10,ALDOA,90.50030627871362,31.62,16.60037400711524,22.56,0.75-31.62,0.57,0.13,0.0,0.4531249999999999,0.9603102371313049,0.3101200686106347
10,GPNMB,1,LGALS3BP,78.42735632183908,31.7,21.60072829964327,27.33,0.75-31.7,0.49,0.18,0.07812499999999999,0.32812499999999994,0.7016003003248867,0.1464837049742711
10,GPNMB,2,FN1,67.26767868795406,31.7,29.89742029296178,31.5,0.8-31.7,0.3,0.26,0.203125,0.03124999999999994,0.46246077719628975,0.0034305317324185847
10,GPNMB,3,THBS1,73.25613259668509,31.72,25.539628152414,30.16,0.75-31.72,0.45,0.18,0.07812499999999999,0.26562499999999994,0.5907867072987144,0.0493996569468268
10,GPNMB,4,MFGE8,76.19022592152199,31.69,20.89149558661975,25.72,0.75-31.69,0.52,0.19,0.09375,0.375,0.6536610753168187,0.20171526586620936
10,GPNMB,5,ANXA2,79.3651838235294,31.72,19.8202755851115,26.28,0.75-31.72,0.52,0.17,0.06250000000000001,0.375,0.721696904267113,0.18250428816466557
10,GPNMB,6,GAPDH,83.32758620689656,31.7,20.09309801863671,28.25,0.75-31.7,0.49,0.13,0.0,0.32812499999999994,0.8066067957074232,0.11492281303602059
10,GPNMB,7,PGK1,80.87303131991051,31.7,19.80111893107919,27.08,0.75-31.7,0.5,0.15,0.031249999999999983,0.34374999999999994,0.7540084049273426,0.15506003430531745
10,GPNMB,8,ALDOA,82.38631391200951,31.7,19.47229661195479,26.77,0.75-31.7,0.5,0.15,0.031249999999999983,0.34374999999999994,0.7864363736649467,0.16569468267581478
10,GPNMB,9,ENO1,83.23646542261251,31.7,18.61584765296938,25.23,0.75-31.7,0.53,0.21,0.12499999999999997,0.390625,0.8046541782917888,0.21852487135506005
10,GPNMB,10,TKT,85.51535454545454,31.72,19.07742998347108,28.67,0.75-31.72,0.6,0.15,0.031249999999999983,0.4999999999999999,0.8534882464412706,0.10051457975986278
11,LIV-1 / SLC39A6,1,SLC3A2,64.92125690607736,31.72,20.78483404429047,28.19,0.75-31.72,0.61,0.26,0.203125,0.5156249999999999,0.4121795590119251,0.11698113207547167
11,LIV-1 / SLC39A6,2,BSG,60.28600000000001,31.69,23.27302102777778,28.84,0.75-31.69,0.43,0.16,0.046875,0.23437499999999994,0.3128511408923794,0.09468267581475132
11,LIV-1 / SLC39A6,3,ANXA2,62.07764890282131,31.67,21.73725498963257,28.61,0.75-31.67,0.55,0.15,0.031249999999999983,0.421875,0.35124419114802574,0.10257289879931397
11,LIV-1 / SLC39A6,4,LGALS3BP,64.9227598152425,31.7,22.28576812506333,27.33,0.75-31.7,0.54,0.2,0.10937500000000001,0.40625,0.4122117646896201,0.1464837049742711
11,LIV-1 / SLC39A6,5,SDCBP,51.25728643216081,31.72,25.36688122353812,30.08,0.75-31.72,0.41,0.19,0.09375,0.20312499999999992,0.11937581589537026,0.05214408233276169
11,LIV-1 / SLC39A6,6,GAPDH,68.29354889589905,31.73,21.77089432674223,29.78,0.75-31.73,0.56,0.16,0.046875,0.43750000000000006,0.484444038753496,0.06243567753001711
11,LIV-1 / SLC39A6,7,LDHA,64.27763866877972,31.72,21.21563882449562,28.5,0.75-31.72,0.57,0.22,0.140625,0.4531249999999999,0.3983875335257333,0.10634648370497435
11,LIV-1 / SLC39A6,8,PGK1,66.60241620111732,31.7,19.69044610811148,26.61,0.75-31.7,0.6,0.16,0.046875,0.4999999999999999,0.44820493943136874,0.17118353344768444
11,LIV-1 / SLC39A6,9,ALDOA,70.02544494720965,31.67,20.41589265849048,27.36,0.75-31.67,0.59,0.17,0.06250000000000001,0.4843749999999999,0.521556651626932,0.1454545454545455
11,LIV-1 / SLC39A6,10,PKM,72.52286746987951,31.72,18.86631113369139,24.52,0.75-31.72,0.65,0.2,0.10937500000000001,0.578125,0.5750736483283837,0.2428816466552316
12,PD-L1 / CD274,1,LGALS3BP,80.75275730622617,31.66,19.52026237993829,23.73,0.75-31.66,0.57,0.21,0.12499999999999997,0.4531249999999999,0.7514310661169542,0.26998284734133793
12,PD-L1 / CD274,2,ANXA2,82.60742397137747,31.66,15.02710199980158,16.47,0.75-31.66,0.63,0.31,0.28125,0.546875,0.7911745171750815,0.5190394511149229
12,PD-L1 / CD274,3,SDCBP,75.8938996138996,31.72,17.56078755534354,18.91,0.75-31.72,0.57,0.47,0.5312499999999999,0.4531249999999999,0.6473111309707468,0.4353344768439108
12,PD-L1 / CD274,4,FN1,72.44219334029029,31.7,29.42495130727932,31.4,0.8-31.7,0.3,0.24,0.17187499999999997,0.03124999999999994,0.5733448911445558,0.006861063464837169
12,PD-L1 / CD274,5,MFGE8,82.32328205128205,31.64,18.04263008254803,20.91,0.75-31.64,0.46,0.29,0.24999999999999994,0.28125,0.7850856707494336,0.36672384219554033
12,PD-L1 / CD274,6,GAPDH,89.10446846846845,31.67,15.93130064118172,16.86,0.75-31.67,0.62,0.13,0.0,0.5312499999999999,0.930398979901674,0.5056603773584907
12,PD-L1 / CD274,7,ENO1,90.11304281345566,31.55,12.23249074152008,8.06,0.75-31.55,0.73,0.32,0.296875,0.7031249999999999,0.9520116102851569,0.8075471698113208
12,PD-L1 / CD274,8,LDHA,87.49226449275362,31.64,15.87409951953371,16.8,0.75-31.64,0.61,0.15,0.031249999999999983,0.5156249999999999,0.8958512355503656,0.5077186963979416
12,PD-L1 / CD274,9,PGK1,89.48745682888539,31.67,14.86872843908726,9.07,0.75-31.67,0.65,0.16,0.046875,0.578125,0.9386059959892904,0.7728987993138936
12,PD-L1 / CD274,10,TPI1,92.3250106609808,31.52,8.282958979091747,6.64,0.75-31.52,0.79,0.74,0.953125,0.796875,0.999411629675215,0.8562607204116639
13,CD44,1,FN1,70.41337334651413,31.7,29.39339876111889,31.4,0.8-31.7,0.31,0.36,0.35937499999999994,0.04687499999999995,0.5298695272727332,0.006861063464837169
13,CD44,2,ITGB1,73.09698744769875,31.72,22.60758030102764,27.72,0.75-31.72,0.52,0.19,0.09375,0.375,0.5873764031407104,0.1331046312178389
13,CD44,3,MFGE8,73.27608482871125,31.72,21.16142968153307,24.83,0.75-31.72,0.39,0.23,0.15625,0.17187499999999997,0.591214261517449,0.23224699828473427
13,CD44,4,THBS1,71.64179285714286,31.73,24.20599777551021,29.16,0.75-31.73,0.51,0.32,0.296875,0.35937499999999994,0.5561931958957084,0.08370497427101209
13,CD44,5,LGALS3BP,77.5139018404908,31.69,16.75900615002447,17.06,0.75-31.69,0.69,0.65,0.8125,0.6406249999999999,0.6820259831953281,0.4987993138936536
13,CD44,6,GAPDH,80.28444253859348,31.69,16.9847696748056,22.19,0.75-31.69,0.63,0.23,0.15625,0.546875,0.7413955996922155,0.3228130360205832
13,CD44,7,LDHA,79.53522413793102,31.66,17.30310386444708,22.56,0.75-31.66,0.62,0.22,0.140625,0.5312499999999999,0.7253406797445667,0.3101200686106347
13,CD44,8,ALDOA,79.00308823529411,31.67,16.86408165662779,22.77,0.75-31.67,0.63,0.38,0.390625,0.546875,0.7139375971313376,0.30291595197255583
13,CD44,9,ENO1,82.11307917888564,31.72,16.11994063948539,22.19,0.75-31.72,0.67,0.2,0.10937500000000001,0.609375,0.7805812561673756,0.3228130360205832
13,CD44,10,PKM,79.95759948652118,31.69,17.33575056728204,22.88,0.75-31.69,0.66,0.17,0.06250000000000001,0.59375,0.7343917153350957,0.29914236706689545
14,AXL,1,FN1,68.2812019017151,31.7,29.90485076253785,31.5,0.8-31.7,0.28,0.26,0.203125,0.0,0.4841794563526337,0.0034305317324185847
14,AXL,2,ITGB1,74.86086572438163,31.72,23.56570846183621,28.84,0.75-31.72,0.42,0.27,0.21875000000000003,0.21874999999999992,0.6251743596571289,0.09468267581475132
14,AXL,3,ANXA2,83.76442988204455,31.7,17.94831117768208,20.58,0.75-31.7,0.55,0.42,0.45312499999999994,0.421875,0.8159678715004582,0.37804459691252157
14,AXL,4,MFGE8,78.68956852791878,31.67,21.63641320312299,26.42,0.75-31.67,0.43,0.18,0.07812499999999999,0.23437499999999994,0.707219217284459,0.1777015437392796
14,AXL,5,LGALS3BP,77.65358224016146,31.7,22.09157399440578,27.3,0.75-31.7,0.5,0.18,0.07812499999999999,0.34374999999999994,0.6850191793487929,0.1475128644939966
14,AXL,6,GAPDH,85.1569696969697,31.67,20.46457925187604,28.08,0.75-31.67,0.48,0.13,0.0,0.31249999999999994,0.8458084563456365,0.12075471698113216
14,AXL,7,PGK1,81.60466111771701,31.67,20.21052397844704,27.06,0.75-31.67,0.51,0.16,0.046875,0.35937499999999994,0.7696864206097015,0.15574614065180115
14,AXL,8,LDHA,84.06707671957672,31.69,20.1673034244562,27.16,0.75-31.69,0.48,0.15,0.031249999999999983,0.31249999999999994,0.8224532577972866,0.15231560891938256
14,AXL,9,TPI1,83.36747399702824,31.69,20.07386627926231,25.91,0.75-31.69,0.48,0.17,0.06250000000000001,0.31249999999999994,0.8074615468412536,0.1951972555746141
14,AXL,10,ALDOA,84.6405076142132,31.69,20.11459303898581,27.59,0.75-31.69,0.5,0.14,0.015625000000000014,0.34374999999999994,0.8347412463207361,0.13756432246998285
15,MET / c-MET,1,FN1,70.23252324438732,31.7,29.22550769575232,31.4,0.8-31.7,0.39,0.27,0.21875000000000003,0.17187499999999997,0.5259941100251018,0.006861063464837169
15,MET / c-MET,2,ITGB1,79.4799504950495,31.72,23.11678994017129,28.89,0.75-31.72,0.52,0.2,0.10937500000000001,0.375,0.7241562268388543,0.09296740994854202
15,MET / c-MET,3,ANXA2,85.66063352044908,31.72,18.59432031583096,21.84,0.75-31.72,0.64,0.24,0.17187499999999997,0.5625,0.8566014138588774,0.334819897084048
15,MET / c-MET,4,LGALS3BP,82.98563389830508,31.72,21.15447351910369,25.86,0.75-31.72,0.56,0.22,0.140625,0.43750000000000006,0.7992791367290859,0.19691252144082338
15,MET / c-MET,5,HSP90AA1,81.0765548780488,31.72,21.89736404298038,26.22,0.75-31.72,0.54,0.26,0.203125,0.40625,0.7583696892077095,0.18456260720411666
15,MET / c-MET,6,GAPDH,88.19950925181014,31.7,18.87805513611542,22.05,0.75-31.7,0.63,0.2,0.10937500000000001,0.546875,0.9110067068788951,0.3276157804459692
15,MET / c-MET,7,LDHA,87.74057258064516,31.67,18.59236177159209,21.5,0.75-31.67,0.63,0.22,0.140625,0.546875,0.9011722026674672,0.34648370497427106
15,MET / c-MET,8,PGK1,88.10276226415094,31.58,16.11117668066928,16.66,0.75-31.58,0.69,0.51,0.59375,0.6406249999999999,0.9089335261606009,0.5125214408233276
15,MET / c-MET,9,ALDOA,87.85345911949686,31.69,18.91675447346821,22.94,0.75-31.69,0.62,0.25,0.1875,0.5312499999999999,0.9035912360799256,0.29708404802744426
15,MET / c-MET,10,ENO1,87.84854559748428,31.69,18.91200885793679,22.95,0.75-31.69,0.62,0.25,0.1875,0.5312499999999999,0.9034859447489823,0.29674099485420247
