Target No.,Receptor,Group,Protein,ipTM_N,pTM_N,median_PAE_N,mean_pLDDT_N,AFS_A_hypothesis,AFS_B_balanced,AFS_C_interface,AFS_D_PAE_aware,AFS_E_AFmultimer
3,EpCAM / EPCAM,3,SDCBP,0.1249999999999999,0.375,0.2596912521440823,0.5447891309093376,0.2581720574580129,0.27740662006521705,0.23044803830534194,0.2564171635197502,0.17499999999999993
3,EpCAM / EPCAM,4,FN1,0.28125,0.0156249999999999,0.0034305317324185,0.5693513101654202,0.2296672762846758,0.2024950528712967,0.22915318418978384,0.18808998736302568,0.228125
3,EpCAM / EPCAM,5,CD44,0.296875,0.1249999999999999,0.0415094339622641,0.0,0.17966391509433957,0.15830188679245283,0.2072759433962264,0.17314563679245282,0.2625
3,EpCAM / EPCAM,6,GAPDH,0.015625,0.4999999999999999,0.4243567753001716,0.9043794660343464,0.30712293620017767,0.3517782749651862,0.24224862413345177,0.3073405516634689,0.11249999999999998
3,EpCAM / EPCAM,7,ALDOA,0.046875,0.5312499999999999,0.4349914236706689,0.8795464557227327,0.32686818190901024,0.3704927530925437,0.26582878793934017,0.32885918030640704,0.14375
3,EpCAM / EPCAM,8,ENO1,0.109375,0.625,0.7867924528301887,0.9344625227294882,0.43787574633395154,0.497527868975461,0.3627504975559677,0.4562734928389866,0.21250000000000002
3,EpCAM / EPCAM,9,EEF1A1,0.1718749999999999,0.28125,0.3084048027444254,0.6810827803098534,0.29061063745814175,0.3029058775953631,0.2583237583054278,0.27744548857987034,0.19374999999999992
3,EpCAM / EPCAM,10,PKM,0.0781249999999999,0.578125,0.5272727272727273,0.7839222725006321,0.35136674996600387,0.39882413632964026,0.2936194999773359,0.36353427270460864,0.17812499999999992
4,Tissue Factor / F3,1,FN1,0.296875,0.0156249999999999,0.0102915951972556,0.5774826205031199,0.23972863235505631,0.2113369621149191,0.24002742157003756,0.1973065810897631,0.240625
4,Tissue Factor / F3,2,THBS1,0.1718749999999999,0.3281249999999999,0.0603773584905661,0.6069201495613956,0.2516571262077942,0.2538947441323225,0.2354797508051961,0.23214248665425272,0.2031249999999999
4,Tissue Factor / F3,3,ANXA2,0.21875,0.5625,0.5454545454545454,0.8964459607609769,0.4381600759323283,0.4716828032050556,0.3879400506215523,0.4377980051670068,0.28750000000000003
4,Tissue Factor / F3,4,MFGE8,0.15625,0.2656249999999999,0.2600343053173242,0.7373028165193882,0.2808505682755068,0.291508533541373,0.24660871218367125,0.26245589271540365,0.17812499999999998
4,Tissue Factor / F3,5,LGALS3BP,0.0781249999999999,0.4687499999999999,0.21852487135506,0.771404722228805,0.28130193903757966,0.3078531826053327,0.23961795935838642,0.27318919649389245,0.15624999999999992
4,Tissue Factor / F3,6,GAPDH,0.109375,0.5156249999999999,0.4401372212692968,0.9117564037905032,0.36059654375896993,0.3974471548224348,0.30393936250597997,0.35732808463290966,0.190625
4,Tissue Factor / F3,7,LDHA,0.0625,0.5312499999999999,0.5430531732418525,0.866876428584853,0.3489894402740058,0.3964545989360984,0.28474296018267053,0.35623577750685576,0.15625
4,Tissue Factor / F3,8,PGK1,0.0781249999999999,0.59375,0.7898799313893654,0.9062792816423756,0.4122363819547611,0.4736053785242294,0.33524092130317407,0.4321976644421106,0.18124999999999994
4,Tissue Factor / F3,9,TPI1,0.140625,0.4687499999999999,0.4514579759862778,0.9026965859000556,0.36718568428294995,0.3991335830822639,0.31354045618863335,0.3610300037872611,0.20625
4,Tissue Factor / F3,10,ALDOA,0.0781249999999999,0.578125,0.5602058319039451,0.915296385279052,0.3760128325774495,0.42511687417264676,0.31005022171829966,0.38325830490869417,0.17812499999999992
5,ICAM1 / CD54,1,ITGB1,0.0781249999999999,0.2656249999999999,0.0950257289879932,0.7850945217207908,0.2242055376063175,0.23442557405571718,0.18801202507087833,0.19907709796967765,0.1156249999999999
5,ICAM1 / CD54,2,ITGA6,0.09375,0.390625,0.1166380789022298,0.8127592251661493,0.26440959561025684,0.28039774955536834,0.22731473040683792,0.24444728829706086,0.153125
5,ICAM1 / CD54,3,FN1,0.1249999999999999,0.0156249999999999,0.0034305317324185,0.561157166063485,0.15031315466938544,0.1387659312560064,0.13458376977959027,0.11695807295283214,0.1031249999999999
5,ICAM1 / CD54,4,MFGE8,0.1249999999999999,0.3281249999999999,0.2710120068610635,0.8717913352295397,0.29954550131359037,0.3170023516566436,0.25490533420906025,0.2796627848951666,0.1656249999999999
5,ICAM1 / CD54,5,THBS1,0.109375,0.2656249999999999,0.0480274442538594,0.6287170095612629,0.2093241680722683,0.2140692902849613,0.1864244453815122,0.18810218980689816,0.140625
5,ICAM1 / CD54,6,GAPDH,0.015625,0.28125,0.1873070325900514,0.9633404306859346,0.23665961949139785,0.25852497112090045,0.1806897463275986,0.21113919958660377,0.06875
5,ICAM1 / CD54,7,LDHA,0.09375,0.28125,0.2490566037735849,0.945394624903352,0.28229268430154053,0.29943301449021975,0.2319451228676937,0.25685078324505217,0.13125
5,ICAM1 / CD54,8,ENO1,0.046875,0.390625,0.1653516295025728,0.9762820895481308,0.2728075578576055,0.29591888933273414,0.22041337190507038,0.24944853485532764,0.115625
5,ICAM1 / CD54,9,PKM,0.046875,0.421875,0.1499142367066895,0.917118577316852,0.2678674221035312,0.2917693839388657,0.21920328140235418,0.24825720507302312,0.12187500000000001
5,ICAM1 / CD54,10,TKT,0.328125,0.578125,0.4,0.9770353366043986,0.48624280049065977,0.5023365504906598,0.4502035336604399,0.46989103366043994,0.37812500000000004
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,0.484375,0.3593749999999999,0.0102915951972556,0.5051849585647864,0.3913839830643063,0.3614298128241691,0.41404765537620414,0.3603893148959298,0.459375
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,0.75,0.6406249999999999,0.4596912521440823,0.6795490737729254,0.6740110488875513,0.6540268614947553,0.6920490325917008,0.657549407806109,0.7281250000000001
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,0.578125,0.4843749999999999,0.0343053173241852,0.6322990416164685,0.48592815384109805,0.4540496697073073,0.5104104358940653,0.4513409676264839,0.559375
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,0.59375,0.5156249999999999,0.1269296740994855,0.6320770029778601,0.5138510015616018,0.4866037352665761,0.5352756677077346,0.4846873851176831,0.578125
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,0.609375,0.5156249999999999,0.195540308747856,0.6288907257501509,0.5314771551747011,0.5060979206120939,0.5511931034498007,0.5051221343245863,0.5906250000000001
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,0.140625,0.40625,0.2229845626072041,0.7614168384108747,0.2992227101527118,0.316621938283072,0.26406514010180787,0.2855823463625283,0.19375
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,0.859375,0.7187499999999999,0.5248713550600344,0.751109500115654,0.7648346282763533,0.741078196029355,0.786973085517569,0.7464914710235723,0.83125
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,0.78125,0.6718749999999999,0.5317324185248713,0.7467912193437009,0.7167785456802859,0.6988339166065294,0.7309773637868573,0.7005568556393443,0.759375
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,0.78125,0.6718749999999999,0.5351629502572899,0.7462465822833343,0.7172114298810937,0.6994383273939581,0.7312659532540624,0.7011884982797914,0.759375
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,0.8125,0.6874999999999999,0.5180102915951973,0.7484073713168925,0.7337126494368135,0.7127381640165733,0.7516417662912089,0.7159427954507287,0.7875
7,MUC1,1,LGALS3BP,0.109375,0.1093749999999999,0.0068610634648371,0.2893832249278302,0.12099914325890007,0.11587344643214192,0.11712442883926671,0.10687303518575042,0.10937499999999999
7,MUC1,2,ANXA2,0.0781249999999999,0.0624999999999999,0.0102915951972556,0.2626782404638239,0.09250797534916186,0.08833505510902465,0.08667198356610788,0.07910739308583344,0.0749999999999999
7,MUC1,3,FN1,0.21875,0.0156249999999999,0.0,0.3133791440256457,0.15950687160384683,0.13841312160384683,0.16571291440256458,0.13368166440256454,0.178125
7,MUC1,4,MFGE8,0.109375,0.0,0.0137221269296741,0.2960484787263786,0.1011530908484079,0.09090169719489162,0.09660206056560527,0.08156802325857268,0.08750000000000001
7,MUC1,5,THBS1,0.0781249999999999,0.1406249999999999,0.0,0.3900138608307237,0.12568957912460849,0.12490832912460847,0.11400138608307228,0.1093138860830723,0.0906249999999999
7,MUC1,6,GAPDH,0.28125,0.0781249999999999,0.0068610634648371,0.3152575410027416,0.20456779067013678,0.18069209384337864,0.21658686044675785,0.17899171679324155,0.24062499999999998
7,MUC1,7,PKM,0.0781249999999999,0.1718749999999999,0.0068610634648371,0.3702436122025748,0.13000320135011173,0.13112750452335356,0.11896046756674111,0.11652157391322482,0.0968749999999999
7,MUC1,8,TPI1,0.140625,0.0156249999999999,0.0102915951972556,0.2306742814243901,0.10958238149324682,0.0968157112531096,0.11159658766216453,0.0923132471818901,0.11562499999999998
7,MUC1,9,PGK1,0.4531249999999999,0.1562499999999999,0.0137221269296741,0.3177978897968841,0.3075405025089837,0.27072660885546734,0.33627700167265573,0.27749296436562315,0.39374999999999993
7,MUC1,10,EEF1A1,0.1249999999999999,0.0468749999999999,0.0068610634648371,0.2256418606992744,0.10675043862461667,0.09693724179785851,0.10762529241641107,0.0919051487628948,0.1093749999999999
8,GLUT5 / SLC2A5,1,SLC3A2,0.2499999999999999,0.5156249999999999,0.4281303602058318,0.8221644016269732,0.41566921427492065,0.43785698228521225,0.37815447618328046,0.40924876220386364,0.3031249999999999
8,GLUT5 / SLC2A5,2,BSG,0.515625,0.625,0.5931389365351629,0.8259349161494847,0.5956735779026971,0.6050180247294553,0.5762823852684648,0.5895025289219811,0.5375000000000001
8,GLUT5 / SLC2A5,3,ANXA2,0.3125,0.5156249999999999,0.4682675814751287,0.8164798408628972,0.45208711335070384,0.4700317424244603,0.41909974223380253,0.4448327503813154,0.35312499999999997
8,GLUT5 / SLC2A5,4,LGALS3BP,0.21875,0.40625,0.2998284734133791,0.7917331370516686,0.3543592415697571,0.3677881652404261,0.3216561610465048,0.3391390083878427,0.25625000000000003
8,GLUT5 / SLC2A5,5,SDCBP,0.15625,0.546875,0.3427101200686107,0.6023626014264583,0.32926090822426035,0.35811516422769085,0.2976322721495069,0.33580953415636794,0.234375
8,GLUT5 / SLC2A5,6,GAPDH,0.09375,0.5156249999999999,0.358147512864494,0.8959295915758881,0.33811156566605727,0.372425191309282,0.2847827104440382,0.3323162117304876,0.17812499999999998
8,GLUT5 / SLC2A5,7,LDHA,0.109375,0.5156249999999999,0.3749571183533448,0.8660584822389635,0.3439648400888462,0.37755644600651345,0.29285156005923085,0.3397222718945653,0.190625
8,GLUT5 / SLC2A5,8,ALDOA,0.09375,0.40625,0.2044596912521441,0.849148172947867,0.2861661796300017,0.3073266641926089,0.24286078642000114,0.2695567555452155,0.15625
8,GLUT5 / SLC2A5,9,PGK1,0.109375,0.4687499999999999,0.3180102915951973,0.8919732876721183,0.3299350368900973,0.3583355514698572,0.28037335792673157,0.31920563708625127,0.18125
8,GLUT5 / SLC2A5,10,ENO1,0.1718749999999999,0.4843749999999999,0.3753001715265867,0.9421429747070784,0.3804289719350497,0.40622523051137904,0.3317443146233664,0.3677118317760251,0.23437499999999992
9,TEM8 / ANTXR1,1,FN1,0.2499999999999999,0.0,0.0068610634648371,0.5282174244070568,0.20526177318078404,0.1806048263540259,0.20350784878718933,0.16669395513367305,0.19999999999999993
9,TEM8 / ANTXR1,2,ITGB1,0.2499999999999999,0.3281249999999999,0.1464837049742711,0.7445050627476717,0.32427331515829133,0.3230037504070049,0.3047238767721942,0.2982784972696213,0.2656249999999999
9,TEM8 / ANTXR1,3,MFGE8,0.5312499999999999,0.4531249999999999,0.5245283018867926,0.8664139531241105,0.5648913382516354,0.560649003345975,0.5484692255010902,0.5438908056897696,0.5156249999999999
9,TEM8 / ANTXR1,4,THBS1,0.59375,0.375,0.0710120068610634,0.6632015338520907,0.4820070311069731,0.4449326314500263,0.5046713540713154,0.4414600547574218,0.55
9,TEM8 / ANTXR1,5,ANXA2,0.5625,0.625,0.6222984562607203,0.9279873356419772,0.6387928687854046,0.6449077915984406,0.6175285791902698,0.6266334248163419,0.575
9,TEM8 / ANTXR1,6,GAPDH,0.0312499999999999,0.4687499999999999,0.3790737564322469,0.9291459280598532,0.3056079526738149,0.3448741404954273,0.24332196844920995,0.29997934409243465,0.11874999999999991
9,TEM8 / ANTXR1,7,LDHA,0.140625,0.4843749999999999,0.4157804459691252,0.9306030920300592,0.36914503069987764,0.4000903029983339,0.3158883537999184,0.36059139839683096,0.20937499999999998
9,TEM8 / ANTXR1,8,PKM,0.15625,0.59375,0.6322469982847342,0.9267010811501776,0.43071721191523676,0.47639206182947347,0.3683948079434912,0.4378695077719646,0.24375000000000002
9,TEM8 / ANTXR1,9,TPI1,0.0312499999999999,0.4375,0.3320754716981131,0.9544031608834972,0.2960967948872415,0.33145056847214716,0.23489786325816098,0.2852929104279723,0.11249999999999993
9,TEM8 / ANTXR1,10,ALDOA,0.0,0.4531249999999999,0.3101200686106347,0.9603102371313048,0.28118954586129086,0.3193517992918226,0.21766803057419393,0.2713362874352574,0.09062499999999998
10,GPNMB,1,LGALS3BP,0.0781249999999999,0.3281249999999999,0.1464837049742711,0.7016003003248867,0.2319001007948736,0.24781803604358715,0.19730840052991572,0.21664427102734285,0.1281249999999999
10,GPNMB,2,FN1,0.203125,0.0312499999999999,0.0034305317324185,0.4624607771962897,0.1776961963393062,0.15911772292592713,0.1747141308928708,0.14615093406611265,0.16874999999999998
10,GPNMB,3,THBS1,0.0781249999999999,0.2656249999999999,0.0493996569468268,0.5907867072987144,0.1882154546368311,0.19615418748417246,0.16401863642455405,0.17052110211923674,0.1156249999999999
10,GPNMB,4,MFGE8,0.09375,0.375,0.2017152658662093,0.6536610753168187,0.2501814511774542,0.26964221447076464,0.21678763411830282,0.24164666070492372,0.15000000000000002
10,GPNMB,5,ANXA2,0.0625,0.375,0.1825042881646655,0.721696904267113,0.24188017886476676,0.26350539327300004,0.20292011924317788,0.2305455480596444,0.125
10,GPNMB,6,GAPDH,0.0,0.3281249999999999,0.1149228130360205,0.8066067957074232,0.20385444131151653,0.22600683196331756,0.15777796087434437,0.1856764921779464,0.06562499999999998
10,GPNMB,7,PGK1,0.0312499999999999,0.3437499999999999,0.1550600343053174,0.7540084049273426,0.2207352658848989,0.24255076760016478,0.17840684392326592,0.20641284735379767,0.0937499999999999
10,GPNMB,8,ALDOA,0.0312499999999999,0.3437499999999999,0.1656946826758147,0.7864363736649467,0.22719465845111414,0.2495418925849049,0.18271310563407606,0.21178257390165756,0.0937499999999999
10,GPNMB,9,ENO1,0.1249999999999999,0.390625,0.21852487135506,0.8046541782917888,0.2941018574470272,0.3120593510147803,0.2554429049646848,0.27807664210019084,0.17812499999999992
10,GPNMB,10,TKT,0.0312499999999999,0.4999999999999999,0.1005145797598627,0.8534882464412706,0.25872542393016995,0.28562615291816307,0.21415028262011326,0.24451424059609955,0.1249999999999999
11,LIV-1 / SLC39A6,1,SLC3A2,0.203125,0.5156249999999999,0.1169811320754716,0.4121795590119251,0.28406160366310945,0.2953794102668831,0.27791606910873967,0.2849266823162868,0.265625
11,LIV-1 / SLC39A6,2,BSG,0.046875,0.2343749999999999,0.0946826758147513,0.3128511408923794,0.13144257250606958,0.14320795629680713,0.11575338167071306,0.1299091492521882,0.08437499999999998
11,LIV-1 / SLC39A6,3,ANXA2,0.0312499999999999,0.421875,0.1025728987993139,0.3512441911480257,0.1680725634921009,0.1911699584320666,0.1485067089947339,0.1751702488746653,0.10937499999999993
11,LIV-1 / SLC39A6,4,LGALS3BP,0.109375,0.40625,0.1464837049742711,0.4122117646896201,0.21974182044958365,0.23644100569829724,0.20274454696638913,0.22129916746381623,0.16875
11,LIV-1 / SLC39A6,5,SDCBP,0.09375,0.2031249999999999,0.0521440823327616,0.1193758158953702,0.11322798473421974,0.11661643885085782,0.11402698982281316,0.11533514805608931,0.11562499999999999
11,LIV-1 / SLC39A6,6,GAPDH,0.046875,0.4375,0.0624356775300171,0.484444038753496,0.19296945744252697,0.2132787413190278,0.17031297162835132,0.191400289381353,0.125
11,LIV-1 / SLC39A6,7,LDHA,0.140625,0.4531249999999999,0.1063464837049743,0.3983875335257333,0.23664760258460613,0.2505586767698548,0.22547340172307076,0.23767055009356816,0.203125
11,LIV-1 / SLC39A6,8,PGK1,0.046875,0.4999999999999999,0.1711835334476844,0.4482049394313687,0.21634577093185794,0.24521744760424216,0.1900638472879053,0.2251509506326737,0.13749999999999998
11,LIV-1 / SLC39A6,9,ALDOA,0.0625,0.4843749999999999,0.1454545454545455,0.521556651626932,0.2281766795622216,0.2534181568349489,0.20107611970814776,0.2304653242536023,0.14687499999999998
11,LIV-1 / SLC39A6,10,PKM,0.109375,0.578125,0.2428816466552316,0.5750736483283837,0.2930057942475423,0.3231186265803039,0.2630455294983616,0.2998336941638847,0.203125
12,PD-L1 / CD274,1,LGALS3BP,0.1249999999999999,0.4531249999999999,0.2699828473413379,0.7514310661169542,0.30633708701874374,0.32999247938581067,0.26776639134582914,0.29867092607996293,0.1906249999999999
12,PD-L1 / CD274,2,ANXA2,0.28125,0.546875,0.5190394511149229,0.7911745171750815,0.4465320952435006,0.4717028177992468,0.40914639682900045,0.4462065919404928,0.334375
12,PD-L1 / CD274,3,SDCBP,0.5312499999999999,0.4531249999999999,0.4353344768439108,0.6473111309707468,0.5186468411721986,0.509944815014394,0.5176395607814657,0.5041417584658567,0.5156249999999999
12,PD-L1 / CD274,4,FN1,0.1718749999999999,0.0312499999999999,0.0068610634648371,0.5733448911445558,0.17921839319140886,0.1639364463646507,0.16739559546093918,0.14386295180742292,0.1437499999999999
12,PD-L1 / CD274,5,MFGE8,0.2499999999999999,0.28125,0.3667238421955403,0.7850856707494336,0.354021426941746,0.36142011905152305,0.32143095129449734,0.3346658355140514,0.2562499999999999
12,PD-L1 / CD274,6,GAPDH,0.0,0.5312499999999999,0.5056603773584907,0.930398979901674,0.32165890358902466,0.3735044224569492,0.24985593572601647,0.32698447346186554,0.10624999999999998
12,PD-L1 / CD274,7,ENO1,0.296875,0.7031249999999999,0.8075471698113208,0.9520116102851568,0.5529963170144716,0.5988424255050376,0.4947058780096477,0.5660855949907798,0.378125
12,PD-L1 / CD274,8,LDHA,0.0312499999999999,0.5156249999999999,0.5077186963979416,0.8958512355503656,0.32928548979224603,0.3773276746121431,0.26223199319483065,0.3340976128346248,0.1281249999999999
12,PD-L1 / CD274,9,PGK1,0.046875,0.578125,0.7728987993138936,0.9386059959892904,0.39578821929547764,0.4586519092611723,0.3149004795303184,0.4140653594617078,0.153125
12,PD-L1 / CD274,10,TPI1,0.953125,0.796875,0.8562607204116639,0.999411629675215,0.9142883525130319,0.9016326385336151,0.9168172350086881,0.8993183070498544,0.9218750000000001
13,CD44,1,FN1,0.3593749999999999,0.0468749999999999,0.0068610634648371,0.5298695272727332,0.2695720886106355,0.23632139178387734,0.27867305907375695,0.22779666542024068,0.2968749999999999
13,CD44,2,ITGB1,0.09375,0.375,0.1331046312178389,0.5873764031407104,0.2299471551537824,0.24597738671467434,0.20329810343585492,0.22129606655763878,0.15000000000000002
13,CD44,3,MFGE8,0.15625,0.1718749999999999,0.2322469982847342,0.591214261517449,0.23601918897032748,0.24060028888456414,0.2104711259802183,0.2188520758086917,0.159375
13,CD44,4,THBS1,0.296875,0.3593749999999999,0.083704974271012,0.5561931958957084,0.31629722552500805,0.30876372423855863,0.31398981701667206,0.29579781444377323,0.309375
13,CD44,5,LGALS3BP,0.8125,0.6406249999999999,0.4987993138936536,0.6820259831953281,0.7114987945633473,0.6872200102580299,0.7337075297088981,0.6937437110982635,0.778125
13,CD44,6,GAPDH,0.15625,0.546875,0.3228130360205832,0.7413955996922155,0.3471312953569198,0.37499069715794897,0.3095458635712799,0.3457334171733382,0.234375
13,CD44,7,LDHA,0.140625,0.5312499999999999,0.3101200686106347,0.7253406797445667,0.33188161225328017,0.35988761568381195,0.29417107483552013,0.3306518316965836,0.21875
13,CD44,8,ALDOA,0.390625,0.546875,0.3029159519725558,0.7139375971313376,0.45721553236558404,0.4606425799642118,0.4454353549103893,0.44447695010764493,0.421875
13,CD44,9,ENO1,0.109375,0.609375,0.3228130360205832,0.7805812561673756,0.3420716438281938,0.377743545629223,0.2978394292187959,0.3441832328208542,0.20937500000000003
13,CD44,10,PKM,0.0625,0.59375,0.2991423670668954,0.7343917153350957,0.3050301123602987,0.34342473071364343,0.2596034082401991,0.30983014494688865,0.16875
14,AXL,1,FN1,0.203125,0.0,0.0034305317324185,0.4841794563526337,0.17470399821275784,0.15456302479937875,0.17063599880850522,0.14051030198174708,0.1625
14,AXL,2,ITGB1,0.21875,0.2187499999999999,0.0946826758147513,0.6251743596571289,0.261103555320782,0.25490018911151957,0.24698570354718802,0.2345789711286631,0.21875
14,AXL,3,ANXA2,0.4531249999999999,0.421875,0.3780445969125215,0.8159678715004582,0.49003937026194694,0.484722850107573,0.4756512468412979,0.46658070653255007,0.4468749999999999
14,AXL,4,MFGE8,0.0781249999999999,0.2343749999999999,0.1777015437392796,0.707219217284459,0.2186756141535607,0.2314669413405247,0.18224207610237378,0.20001223047630176,0.1093749999999999
14,AXL,5,LGALS3BP,0.0781249999999999,0.3437499999999999,0.1475128644939966,0.6850191793487929,0.23269230657641832,0.2494429498011182,0.1988782043842789,0.21909824083367857,0.1312499999999999
14,AXL,6,GAPDH,0.0,0.3124999999999999,0.1207547169811321,0.8458084563456365,0.20748447599901526,0.22914721184807185,0.15915631733267682,0.18685678903079006,0.06249999999999998
14,AXL,7,PGK1,0.046875,0.3593749999999999,0.1557461406518011,0.7696864206097015,0.23412738418922535,0.25519594122181544,0.19254325612615025,0.21905537019133034,0.10937499999999999
14,AXL,8,LDHA,0.0312499999999999,0.3124999999999999,0.1523156089193825,0.8224532577972866,0.2243403300075003,0.24445611045346943,0.17872688667166683,0.20489594756360507,0.0874999999999999
14,AXL,9,TPI1,0.0625,0.3124999999999999,0.1951972555746141,0.8074615468412536,0.24414882036238011,0.26328368314111084,0.20026588024158676,0.2260356057990482,0.11249999999999999
14,AXL,10,ALDOA,0.015625,0.3437499999999999,0.1375643224699828,0.8347412463207361,0.2224083353186078,0.24491155144210694,0.17535555687907187,0.20395573912607015,0.08124999999999998
15,MET / c-MET,1,FN1,0.21875,0.1718749999999999,0.0068610634648371,0.5259941100251018,0.22367827602349083,0.21074007919673265,0.2189105173489939,0.19537787369547754,0.209375
15,MET / c-MET,2,ITGB1,0.109375,0.375,0.092967409948542,0.7241562268388543,0.25225604551810943,0.26471691601553654,0.22233736367873963,0.23397785467359383,0.16250000000000003
15,MET / c-MET,3,ANXA2,0.1718749999999999,0.5625,0.334819897084048,0.8566014138588774,0.37715069664143874,0.40482919149564117,0.33476713109429246,0.37059287080269726,0.24999999999999994
15,MET / c-MET,4,LGALS3BP,0.140625,0.4375,0.1969125214408233,0.7992791367290859,0.3072412487254864,0.32489937479752756,0.27149416581699093,0.2919666679610733,0.2
15,MET / c-MET,5,HSP90AA1,0.203125,0.40625,0.1845626072041166,0.7583696892077095,0.32425234446177387,0.33348047482197973,0.2974182296411826,0.30571824036159434,0.24375000000000002
15,MET / c-MET,6,GAPDH,0.109375,0.546875,0.3276157804459692,0.9110067068788952,0.3498558730987297,0.38264291212102813,0.29886224873248646,0.34256132677708334,0.19687500000000002
