Target No.,Receptor,Group,Protein,af_source,n_chains,Median PAE,interface_PAE,interface_PAE_block
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,AF3,3,30.6,25.585381944444446,30.435000999650097
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,AF3,3,27.9,29.346964725184574,31.183475676370428
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,AF3,3,25.9,21.238207200587805,29.09784391396807
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,AF3,2,25.1,28.3550866616428,30.94059912132884
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,AF3,3,16.3,22.692994828396802,26.701768690310896
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,AF3,3,16.1,30.64787849566056,31.23145572263994
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,AF3,3,16.0,30.631488736532813,31.29346614528288
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,AF3,3,16.5,23.49696828358209,27.238683334680807
7,MUC1,1,LGALS3BP,AF3,2,31.4,29.234308663224322,31.29091979983173
7,MUC1,2,ANXA2,AF3,2,31.3,28.60187040748163,30.974179747402964
7,MUC1,3,FN1,AF3,2,31.6,29.617221458046767,31.426159789231924
7,MUC1,4,MFGE8,AF3,2,31.2,29.142135922330095,30.93811994305426
7,MUC1,5,THBS1,AF3,2,31.6,30.89832474226804,31.58493360937659
7,MUC1,6,GAPDH,AF3,2,31.4,27.681848626925653,31.013515196040522
7,MUC1,7,PKM,AF3,2,31.4,29.95293072824156,31.320895823372325
7,MUC1,8,TPI1,AF3,2,31.3,29.435465529495378,31.0102253573881
7,MUC1,9,PGK1,AF3,2,31.2,25.86019047619048,30.237523970460938
7,MUC1,10,EEF1A1,AF3,2,31.4,29.22925925925926,31.12081118363502
8,GLUT5 / SLC2A5,1,SLC3A2,AF2,2,19.12,18.479339111592633,25.07245364720795
8,GLUT5 / SLC2A5,2,BSG,AF2,2,14.31,13.494757160647573,22.644013595325898
8,GLUT5 / SLC2A5,3,ANXA2,AF2,2,17.95,16.945654761904763,22.670042952443197
8,GLUT5 / SLC2A5,4,LGALS3BP,AF2,2,22.86,18.888314606741574,26.144431577761587
8,GLUT5 / SLC2A5,5,SDCBP,AF2,2,21.61,20.43894868585732,26.451133303862072
8,GLUT5 / SLC2A5,6,GAPDH,AF2,2,21.16,22.40863636363636,27.426918342419643
8,GLUT5 / SLC2A5,7,LDHA,AF2,2,20.67,22.276542617046818,27.368478284395064
8,GLUT5 / SLC2A5,8,ALDOA,AF2,2,25.64,24.899884393063587,28.763281431642202
8,GLUT5 / SLC2A5,9,PGK1,AF2,2,22.33,21.747734204793026,27.055026493775035
8,GLUT5 / SLC2A5,10,ENO1,AF2,2,20.66,21.33204278074866,26.514553128765513
9,TEM8 / ANTXR1,1,FN1,AF3,2,31.4,29.934882058613297,31.111741479555832
9,TEM8 / ANTXR1,2,ITGB1,AF2,2,27.33,23.044282848545638,28.51028573592946
9,TEM8 / ANTXR1,3,MFGE8,AF2,2,16.31,14.623032159264932,21.624241653675043
9,TEM8 / ANTXR1,4,THBS1,AF2,2,29.53,20.6311866759195,26.370654060337372
9,TEM8 / ANTXR1,5,ANXA2,AF2,2,13.46,12.513550955414013,18.424668830572312
9,TEM8 / ANTXR1,6,GAPDH,AF2,2,20.55,22.406602564102567,27.430968858131482
9,TEM8 / ANTXR1,7,LDHA,AF2,2,19.48,20.501336553945247,25.24877996414724
9,TEM8 / ANTXR1,8,PKM,AF2,2,13.17,19.227524390243904,26.23250858535505
9,TEM8 / ANTXR1,9,TPI1,AF2,2,21.92,22.445446096654276,26.893878072845013
9,TEM8 / ANTXR1,10,ALDOA,AF2,2,22.56,25.346171516079632,29.09325269021636
10,GPNMB,1,LGALS3BP,AF2,2,27.33,24.453898467432953,29.068299834725412
10,GPNMB,2,FN1,AF3,2,31.5,30.119979750253123,31.360978325699275
10,GPNMB,3,THBS1,AF2,2,30.16,28.235070595457337,30.506522190921267
10,GPNMB,4,MFGE8,AF2,2,25.72,23.19111771700357,28.283833281498378
10,GPNMB,5,ANXA2,AF2,2,26.28,24.223995098039214,28.77584970594238
10,GPNMB,6,GAPDH,AF2,2,28.25,27.068423645320195,29.899252542319843
10,GPNMB,7,PGK1,AF2,2,27.08,24.793221476510066,29.097009838669944
10,GPNMB,8,ALDOA,AF2,2,26.77,25.74382877526754,29.224116386757892
10,GPNMB,9,ENO1,AF2,2,25.23,24.46641053787047,28.24772906220715
10,GPNMB,10,TKT,AF2,2,28.67,28.19152727272727,30.29730379141976
11,LIV-1 / SLC39A6,1,SLC3A2,AF2,2,28.19,18.41973756906077,29.446873381861106
11,LIV-1 / SLC39A6,2,BSG,AF2,2,28.84,22.16743333333333,28.637945810509013
11,LIV-1 / SLC39A6,3,ANXA2,AF2,2,28.61,21.27777429467085,28.72985827882518
11,LIV-1 / SLC39A6,4,LGALS3BP,AF2,2,27.33,21.255854503464203,28.890098151982205
11,LIV-1 / SLC39A6,5,SDCBP,AF2,2,30.08,25.73661641541039,29.424970988305535
11,LIV-1 / SLC39A6,6,GAPDH,AF2,2,29.78,22.739432176656152,30.19292956621574
11,LIV-1 / SLC39A6,7,LDHA,AF2,2,28.5,19.21524564183835,28.661730013700293
11,LIV-1 / SLC39A6,8,PGK1,AF2,2,26.61,19.865391061452517,28.49370246946256
11,LIV-1 / SLC39A6,9,ALDOA,AF2,2,27.36,21.080090497737555,28.40190194420964
11,LIV-1 / SLC39A6,10,PKM,AF2,2,24.52,21.887277108433732,28.75134229604016
12,PD-L1 / CD274,1,LGALS3BP,AF2,2,23.73,22.563011435832276,27.87377032227032
12,PD-L1 / CD274,2,ANXA2,AF2,2,16.47,16.30386404293381,23.738911236256374
12,PD-L1 / CD274,3,SDCBP,AF2,2,18.91,16.44330115830116,22.44355178462477
12,PD-L1 / CD274,4,FN1,AF3,2,31.4,30.23381215469613,31.136469299063993
12,PD-L1 / CD274,5,MFGE8,AF2,2,20.91,17.881897435897436,24.32746214196762
12,PD-L1 / CD274,6,GAPDH,AF2,2,16.86,24.127207207207206,28.021051696065133
12,PD-L1 / CD274,7,ENO1,AF2,2,8.06,15.554036697247707,22.318691506074565
12,PD-L1 / CD274,8,LDHA,AF2,2,16.8,22.3431884057971,27.44997501369113
12,PD-L1 / CD274,9,PGK1,AF2,2,9.07,21.696075353218212,27.23807717462394
12,PD-L1 / CD274,10,TPI1,AF2,2,6.64,7.277782515991471,11.896172234392113
13,CD44,1,FN1,AF3,2,31.4,29.43952641165756,31.106634620599078
13,CD44,2,ITGB1,AF2,2,27.72,24.24729079497908,29.034632312739205
13,CD44,3,MFGE8,AF2,2,24.83,19.978450244698205,26.733159633230223
13,CD44,4,THBS1,AF2,2,29.16,24.257492857142857,28.768365902917793
13,CD44,5,LGALS3BP,AF2,2,17.06,11.756134969325153,19.35765752119247
13,CD44,6,GAPDH,AF2,2,22.19,14.158816466552317,25.671519138180066
13,CD44,7,LDHA,AF2,2,22.56,14.56943103448276,25.80483330499417
13,CD44,8,ALDOA,AF2,2,22.77,15.036683006535945,25.964226061237152
13,CD44,9,ENO1,AF2,2,22.19,20.51115835777126,26.91221054147466
13,CD44,10,PKM,AF2,2,22.88,23.521976893453143,28.55065241327987
14,AXL,1,FN1,AF3,2,31.5,30.271546109016114,31.32602511285645
14,AXL,2,ITGB1,AF2,2,28.84,23.866996466431097,29.19974243151051
14,AXL,3,ANXA2,AF2,2,20.58,17.30235910878113,24.118660182556912
14,AXL,4,MFGE8,AF2,2,26.42,24.800621827411167,28.82285011274103
14,AXL,5,LGALS3BP,AF2,2,27.3,23.9513824419778,29.204074323649795
14,AXL,6,GAPDH,AF2,2,28.08,27.030777338603425,29.81111947338778
14,AXL,7,PGK1,AF2,2,27.06,24.99166468489893,29.210659981448792
14,AXL,8,LDHA,AF2,2,27.16,26.21247354497354,29.345152378381453
14,AXL,9,TPI1,AF2,2,25.91,24.487904903417533,28.6005068860347
14,AXL,10,ALDOA,AF2,2,27.59,26.384746192893402,29.56130047428986
15,MET / c-MET,1,FN1,AF3,2,31.4,28.714637723672634,31.181776095442864
15,MET / c-MET,2,ITGB1,AF2,2,28.89,27.084622524752476,30.091351320030373
15,MET / c-MET,3,ANXA2,AF2,2,21.84,25.456319165998394,28.704759089964003
15,MET / c-MET,4,LGALS3BP,AF2,2,25.86,24.6600813559322,28.955637134932264
15,MET / c-MET,5,HSP90AA1,AF2,2,26.22,23.171951219512195,28.713524823367276
15,MET / c-MET,6,GAPDH,AF2,2,22.05,25.192172164119064,29.39427524820829
15,MET / c-MET,7,LDHA,AF2,2,21.5,25.259032258064515,28.896045459370526
15,MET / c-MET,8,PGK1,AF2,2,16.66,14.145237735849058,22.333870221003803
15,MET / c-MET,9,ALDOA,AF2,2,22.94,25.671092767295598,29.189054103935707
15,MET / c-MET,10,ENO1,AF2,2,22.95,25.617649371069184,29.171563392554575
16,ROR1,1,FN1,AF3,2,31.4,30.33055844606313,31.268821184453603
16,ROR1,2,ITGB1,AF2,2,26.89,24.601244239631335,29.008699965532227
16,ROR1,3,ANXA2,AF2,2,27.83,20.906201117318435,28.600966643975497
16,ROR1,4,LGALS3BP,AF2,2,26.66,23.656514830508474,28.354049958130418
16,ROR1,5,MFGE8,AF2,2,22.78,15.64497975708502,23.764693211297985
16,ROR1,6,GAPDH,AF2,2,26.41,20.99435393258427,28.00566625757156
16,ROR1,7,LDHA,AF2,2,25.5,22.48904090267983,27.42804248825541
16,ROR1,8,PKM,AF2,2,27.31,23.768425110132156,29.084409102489182
16,ROR1,9,PGK1,AF2,2,25.31,20.354571788413097,26.970026652418113
16,ROR1,10,TPI1,AF2,2,27.17,23.212891373801916,27.96630777752921
17,RON / MST1R,1,FN1,AF3,2,31.4,28.031423611111112,31.000840500737556
17,RON / MST1R,2,ITGB1,AF2,2,28.17,21.68356972111554,28.900623586279544
17,RON / MST1R,3,ANXA2,AF2,2,23.27,25.593377952755905,29.029468028478274
17,RON / MST1R,4,MFGE8,AF2,2,23.75,24.064903474903474,28.630572098417147
17,RON / MST1R,5,THBS1,AF2,2,28.75,18.909228958210708,26.55992410464908
17,RON / MST1R,6,GAPDH,AF2,2,22.73,22.608420221169034,28.837480273177615
17,RON / MST1R,7,ALDOA,AF2,2,22.66,24.056162162162163,28.842807774931835
17,RON / MST1R,8,LDHA,AF2,2,21.14,23.07228028503563,28.490600403763274
17,RON / MST1R,9,ENO1,AF2,2,23.97,23.310373626373625,28.72906506308564
17,RON / MST1R,10,TKT,AF2,2,26.02,25.438384813384815,29.28656728383675
18,CSPG4,1,FN1,AF3,2,31.5,28.614197530864196,31.375204097417033
18,CSPG4,2,THBS1,AF3,2,31.5,29.217457976997938,31.27818213478949
18,CSPG4,3,MFGE8,AF3,2,31.4,30.059815950920246,31.18633992882133
18,CSPG4,4,ITGB1,AF3,2,31.3,30.184842319430317,31.314580137894524
18,CSPG4,5,LGALS3BP,AF3,2,31.4,28.729151817533857,30.94926474945837
18,CSPG4,6,GAPDH,AF3,2,31.3,29.7627151799687,31.170773619520602
18,CSPG4,7,LDHA,AF3,2,31.4,30.08029768899334,31.46844570989946
18,CSPG4,8,PGK1,AF3,2,31.4,29.844617134192568,31.226210027025672
18,CSPG4,9,PKM,AF3,2,31.4,30.51504360465116,31.40118425303405
18,CSPG4,10,ALDOA,AF3,2,31.2,30.01675048355899,31.224545175670784
19,IGF1R,1,FN1,AF3,2,31.5,29.05058616647128,31.219448228515173
19,IGF1R,2,ITGB1,AF2,2,29.08,23.366311221326722,29.103184279114775
19,IGF1R,3,ANXA2,AF2,2,27.77,25.165892282958197,29.05164710963347
19,IGF1R,4,MFGE8,AF2,2,27.92,26.097194641449956,29.632801226397913
19,IGF1R,5,LGALS3BP,AF2,2,28.97,26.925788043478256,30.003318015726858
19,IGF1R,6,GAPDH,AF2,2,28.36,26.646870967741936,29.589456765894283
19,IGF1R,7,ENO1,AF2,2,28.66,25.12979835698282,29.660848053568248
19,IGF1R,8,LDHA,AF2,2,28.05,26.894050121261117,29.70650402715835
19,IGF1R,9,PGK1,AF2,2,28.69,27.08030257186082,29.933574837367676
19,IGF1R,10,TPI1,AF2,2,26.98,25.75357019064125,29.166569637666694
20,CXCR4,1,FN1,AF3,2,31.4,28.49179922234005,30.74160704618857
20,CXCR4,2,LGALS3BP,AF2,2,24.44,19.701795429815018,26.916362108185023
20,CXCR4,3,ANXA2,AF2,2,18.25,13.321476121562952,22.634220677460448
20,CXCR4,4,MFGE8,AF2,2,23.84,21.073324022346366,26.772224611326184
20,CXCR4,5,ITGB1,AF2,2,25.42,21.92420754716981,28.02882335002568
20,CXCR4,6,GAPDH,AF2,2,23.64,14.973697234352255,26.516035405359567
20,CXCR4,7,LDHA,AF2,2,21.19,14.388201754385964,24.665140633556952
20,CXCR4,8,PKM,AF2,2,23.69,15.018180494905385,26.542107064111264
20,CXCR4,9,ALDOA,AF2,2,23.52,17.567932960893852,26.354906421703294
20,CXCR4,10,ENO1,AF2,2,24.67,22.52173027989822,27.570489107666525
