Entry	Gene Names (primary)	Subcellular location [CC]	Transmembrane	Signal peptide	Lipidation	Keywords
P05556	ITGB1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:32487760, ECO:0000269|PubMed:35687021, ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:10455171, ECO:0000269|PubMed:11919189}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome {ECO:0000269|PubMed:16256741}. Melanosome {ECO:0000269|PubMed:17081065}. Cleavage furrow {ECO:0000269|PubMed:17956333}. Cell projection, lamellipodium {ECO:0000269|PubMed:11919189}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:35687021}. Note=Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. {ECO:0000269|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 2]: Note=Does not localize to focal adhesions. {ECO:0000269|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P09055}. Cell junction {ECO:0000250|UniProtKB:P09055}. Note=In cardiac muscle, found in costameres and intercalated disks. {ECO:0000250|UniProtKB:P09055}.	TRANSMEM 729..751; /note="Helical"; /evidence="ECO:0000255"	SIGNAL 1..20		3D-structure;Acetylation;Alternative splicing;Calcium;Cell adhesion;Cell junction;Cell membrane;Cell projection;Direct protein sequencing;Disulfide bond;EGF-like domain;Endosome;Glycoprotein;Host cell receptor for virus entry;Host-virus interaction;Integrin;Isopeptide bond;Magnesium;Membrane;Metal-binding;Myogenesis;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Ubl conjugation
P00338	LDHA	SUBCELLULAR LOCATION: Cytoplasm.				3D-structure;Acetylation;Alternative splicing;Cytoplasm;Direct protein sequencing;Disease variant;Glycogen storage disease;Isopeptide bond;NAD;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome;Ubl conjugation
Q08380	LGALS3BP	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:8390986}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9501082}.		SIGNAL 1..18; /evidence="ECO:0000269|PubMed:8390986, ECO:0000269|PubMed:8454062, ECO:0000269|PubMed:8757764"		3D-structure;Cell adhesion;Direct protein sequencing;Disulfide bond;Extracellular matrix;Glycoprotein;Proteomics identification;Reference proteome;Secreted;Signal
Q08431	MFGE8	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:19204935}; Peripheral membrane protein {ECO:0000269|PubMed:19204935}. Secreted {ECO:0000269|PubMed:19204935}. Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000250|UniProtKB:P79385}; Peripheral membrane protein {ECO:0000250|UniProtKB:P79385}. Note=Located in the acrosomal region of zona-pellucida bound sperm. {ECO:0000250|UniProtKB:P79385}.		SIGNAL 1..23		Alternative splicing;Amyloid;Angiogenesis;Cell adhesion;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;EGF-like domain;Fertilization;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal
P00558	PGK1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:36849569}. Mitochondrion matrix {ECO:0000269|PubMed:26942675, ECO:0000269|PubMed:36849569}. Note=Hypoxic conditions promote mitochondrial targeting (PubMed:26942675). Targeted to the mitochondrion following phosphorylation by MAPK1/ERK2, cis-trans isomerization by PIN1, and binding to mitochondrial circRNA mcPGK1 (PubMed:36849569). {ECO:0000269|PubMed:26942675, ECO:0000269|PubMed:36849569}.				3D-structure;Acetylation;Alternative splicing;ATP-binding;Cytoplasm;Direct protein sequencing;Disease variant;Glycolysis;Hereditary hemolytic anemia;Hydroxylation;Kinase;Magnesium;Metal-binding;Mitochondrion;Nucleotide-binding;Phosphoprotein;Proteomics identification;Reference proteome;Transferase
P14618	PKM	SUBCELLULAR LOCATION: [Isoform M2]: Cytoplasm {ECO:0000269|PubMed:25263439, ECO:0000269|PubMed:26787900, ECO:0000269|PubMed:27573352, ECO:0000269|PubMed:32268273}. Nucleus {ECO:0000269|PubMed:17308100, ECO:0000269|PubMed:18191611, ECO:0000269|PubMed:22056988, ECO:0000269|PubMed:22901803, ECO:0000269|PubMed:24120661, ECO:0000269|PubMed:26787900, ECO:0000269|PubMed:27573352, ECO:0000269|PubMed:32268273}. Note=Translocates to the nucleus in response to various signals, such as EGF receptor activation or apoptotic stimuli (PubMed:17308100, PubMed:22056988, PubMed:24120661). Nuclear translocation is promoted by acetylation by EP300 (PubMed:24120661). Deacetylation by SIRT6 promotes its nuclear export in a process dependent of XPO4, thereby suppressing its ability to activate transcription and promote tumorigenesis (PubMed:26787900). {ECO:0000269|PubMed:17308100, ECO:0000269|PubMed:22056988, ECO:0000269|PubMed:24120661, ECO:0000269|PubMed:26787900}.; SUBCELLULAR LOCATION: [Isoform M1]: Cytoplasm {ECO:0000305}.				3D-structure;Acetylation;Allosteric enzyme;Alternative splicing;ATP-binding;Cytoplasm;Direct protein sequencing;Glycolysis;Hydroxylation;Isopeptide bond;Kinase;Magnesium;Metal-binding;Methylation;Nucleotide-binding;Nucleus;Phosphoprotein;Potassium;Proteomics identification;Pyruvate;Reference proteome;S-nitrosylation;Transferase;Translation regulation;Ubl conjugation
O00560	SDCBP	SUBCELLULAR LOCATION: Cell junction, focal adhesion {ECO:0000269|PubMed:11179419}. Cell junction, adherens junction {ECO:0000269|PubMed:11179419}. Cell membrane {ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:25893292, ECO:0000269|PubMed:27386966}; Peripheral membrane protein {ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:27386966}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:17081065}; Peripheral membrane protein {ECO:0000269|PubMed:17081065}. Nucleus {ECO:0000269|PubMed:11179419}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cytoplasm, cytosol {ECO:0000269|PubMed:11179419}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11179419}. Secreted, extracellular exosome {ECO:0000269|PubMed:22660413}. Membrane raft {ECO:0000269|PubMed:25893292}. Note=Mainly membrane-associated. Localized to adherens junctions, focal adhesions and endoplasmic reticulum. Colocalized with actin stress fibers. Also found in the nucleus. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Associated to the plasma membrane in the presence of FZD7 and phosphatidylinositol 4,5-bisphosphate (PIP2) (PubMed:27386966). {ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:27386966}.				3D-structure;Acetylation;Alternative splicing;Cell junction;Cell membrane;Cytoplasm;Cytoskeleton;Direct protein sequencing;Endoplasmic reticulum;Lipid-binding;Membrane;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted
P08195	SLC3A2	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:11742812}. Cell membrane {ECO:0000269|PubMed:11311135, ECO:0000269|PubMed:11389679, ECO:0000269|PubMed:11557028, ECO:0000269|PubMed:11564694, ECO:0000269|PubMed:12225859, ECO:0000269|PubMed:15769744, ECO:0000269|PubMed:16496379, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:3476959, ECO:0000269|PubMed:3480538, ECO:0000269|PubMed:36028562, ECO:0000269|PubMed:37918808, ECO:0000269|PubMed:9829974}; Single-pass type II membrane protein {ECO:0000269|PubMed:30867591}. Cell junction {ECO:0000250|UniProtKB:P10852}. Lysosome membrane {ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:40280132}. Melanosome {ECO:0000269|PubMed:17081065}. Basolateral cell membrane {ECO:0000250|UniProtKB:P10852}. Note=Localized at the plasma membrane when associated with SLC7A5/LAT1 or SLC7A8/LAT2 (PubMed:11311135, PubMed:9751058). Localized to the apical membrane of placental syncytiotrophoblastic cells (PubMed:11742812). Recruited to lysosomes by LAPTM4B (PubMed:25998567). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Located selectively at cell-cell adhesion sites (By similarity). Colocalized with SLC7A8/LAT2 at the basolateral membrane of kidney proximal tubules and small intestine epithelia. Expressed in both luminal and abluminal membranes of brain capillary endothelial cells (By similarity). {ECO:0000250|UniProtKB:P10852, ECO:0000269|PubMed:11311135, ECO:0000269|PubMed:11742812, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:25998567, ECO:0000269|PubMed:9751058}.	TRANSMEM 84..104; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000269|PubMed:30867591"			3D-structure;Acetylation;Alternative splicing;Amino-acid transport;Cell junction;Cell membrane;Direct protein sequencing;Disulfide bond;Glycoprotein;Host cell receptor for virus entry;Isopeptide bond;Lysosome;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix;Transport;Ubl conjugation
P07996	THBS1	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:101549, ECO:0000269|PubMed:14568985, ECO:0000269|PubMed:6777381}. Cell surface {ECO:0000269|PubMed:6777381}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:18285447, ECO:0000269|PubMed:6341993}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P35441}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:P35441}. Note=Secreted by thrombin-activated platelets and binds to the cell surface in the presence of extracellular Ca(2+) (PubMed:101549, PubMed:6777381). Incorporated into the extracellular matrix (ECM) of fibroblasts (PubMed:6341993). The C-terminal region in trimeric form is required for retention in the ECM (PubMed:18285447). Also detected in the endoplasmic reticulum and sarcoplasmic reticulum where it plays a role in the ER stress response (By similarity). {ECO:0000250|UniProtKB:P35441, ECO:0000269|PubMed:6341993, ECO:0000269|PubMed:6777381}.		SIGNAL 1..18		3D-structure;Alternative splicing;Angiogenesis;Apoptosis;Calcium;Cell adhesion;Disulfide bond;EGF-like domain;Endoplasmic reticulum;Extracellular matrix;Glycoprotein;Heparin-binding;Inflammatory response;Proteomics identification;Reference proteome;Repeat;Sarcoplasmic reticulum;Secreted;Signal;Unfolded protein response
Q16832	DDR2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20223752, ECO:0000269|PubMed:9659899}; Single-pass type I membrane protein {ECO:0000269|PubMed:18201965, ECO:0000269|PubMed:20223752, ECO:0000269|PubMed:9659899}.	TRANSMEM 400..421; /note="Helical"; /evidence="ECO:0000255"	SIGNAL 1..21; /evidence="ECO:0000255"		3D-structure;ATP-binding;Cell membrane;Disease variant;Disulfide bond;Dwarfism;Glycoprotein;Kinase;Membrane;Nucleotide-binding;Osteogenesis;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase
P60174	TPI1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU10127}.				3D-structure;Acetylation;Alternative promoter usage;Alternative splicing;Cytoplasm;Direct protein sequencing;Disease variant;Gluconeogenesis;Glycolysis;Hereditary hemolytic anemia;Isomerase;Isopeptide bond;Lyase;Methylation;Nitration;Phosphoprotein;Proteomics identification;Reference proteome;Ubl conjugation
