Target No.,Receptor,Group,Protein,Group_AB,dG_kcal_mol,intermolecular_contacts,dG_per_contact,PRODIGY_Score
9,TEM8 / ANTXR1,5,ANXA2,A,-9.7,62.0,-0.1564516129032258,0.11636363636363645
9,TEM8 / ANTXR1,6,GAPDH,B,-14.2,112.0,-0.12678571428571428,0.22545454545454546
9,TEM8 / ANTXR1,7,LDHA,B,-12.5,110.0,-0.11363636363636363,0.1842424242424242
9,TEM8 / ANTXR1,8,PKM,B,-7.6,59.0,-0.1288135593220339,0.06545454545454554
9,TEM8 / ANTXR1,9,TPI1,B,-10.1,70.0,-0.14428571428571427,0.1260606060606061
9,TEM8 / ANTXR1,10,ALDOA,B,-13.5,101.0,-0.13366336633663367,0.2084848484848485
10,GPNMB,1,LGALS3BP,A,-14.8,168.0,-0.0880952380952381,0.24
10,GPNMB,2,FN1,A,,,,
10,GPNMB,3,THBS1,A,-52.7,597.0,-0.08827470686767169,1.0
10,GPNMB,4,MFGE8,A,-10.8,77.0,-0.14025974025974028,0.14303030303030295
10,GPNMB,5,ANXA2,A,-20.9,195.0,-0.10717948717948718,0.3878787878787878
10,GPNMB,6,GAPDH,B,-12.2,90.0,-0.13555555555555554,0.176969696969697
10,GPNMB,7,PGK1,B,-7.5,47.0,-0.1595744680851064,0.0630303030303031
10,GPNMB,8,ALDOA,B,-7.1,25.0,-0.284,0.053333333333333344
10,GPNMB,9,ENO1,B,-11.5,89.0,-0.12921348314606743,0.16000000000000003
10,GPNMB,10,TKT,B,-19.2,169.0,-0.1136094674556213,0.3466666666666667
11,LIV-1 / SLC39A6,1,SLC3A2,A,-15.9,124.0,-0.1282258064516129,0.2666666666666666
11,LIV-1 / SLC39A6,2,BSG,A,-10.1,70.0,-0.14428571428571427,0.1260606060606061
11,LIV-1 / SLC39A6,3,ANXA2,A,-19.7,194.0,-0.10154639175257732,0.35878787878787877
11,LIV-1 / SLC39A6,4,LGALS3BP,A,-11.1,93.0,-0.11935483870967742,0.15030303030303038
11,LIV-1 / SLC39A6,5,SDCBP,A,-18.4,167.0,-0.11017964071856287,0.32727272727272727
11,LIV-1 / SLC39A6,6,GAPDH,B,-13.8,98.0,-0.14081632653061224,0.2157575757575757
11,LIV-1 / SLC39A6,7,LDHA,B,-11.4,78.0,-0.14615384615384616,0.1575757575757576
11,LIV-1 / SLC39A6,8,PGK1,B,-8.7,61.0,-0.1426229508196721,0.09212121212121216
11,LIV-1 / SLC39A6,9,ALDOA,B,,,,
11,LIV-1 / SLC39A6,10,PKM,B,-7.3,28.0,-0.26071428571428573,0.05818181818181811
12,PD-L1 / CD274,1,LGALS3BP,A,-14.6,132.0,-0.1106060606060606,0.23515151515151522
12,PD-L1 / CD274,2,ANXA2,A,-8.4,33.0,-0.2545454545454546,0.08484848484848484
12,PD-L1 / CD274,3,SDCBP,A,-8.8,60.0,-0.14666666666666667,0.09454545454545449
12,PD-L1 / CD274,4,FN1,A,,,,
12,PD-L1 / CD274,5,MFGE8,A,-12.0,88.0,-0.13636363636363635,0.17212121212121212
12,PD-L1 / CD274,6,GAPDH,B,-8.9,63.0,-0.14126984126984127,0.09696969696969693
12,PD-L1 / CD274,7,ENO1,B,-11.8,96.0,-0.12291666666666667,0.16727272727272724
12,PD-L1 / CD274,8,LDHA,B,-11.6,119.0,-0.09747899159663866,0.16242424242424247
12,PD-L1 / CD274,9,PGK1,B,-24.1,301.0,-0.08006644518272425,0.46545454545454545
12,PD-L1 / CD274,10,TPI1,B,-11.1,60.0,-0.185,0.15030303030303038
13,CD44,1,FN1,A,,,,
13,CD44,2,ITGB1,A,-14.2,110.0,-0.1290909090909091,0.22545454545454546
13,CD44,3,MFGE8,A,-14.5,107.0,-0.13551401869158877,0.23272727272727267
13,CD44,4,THBS1,A,-28.7,318.0,-0.09025157232704402,0.5769696969696969
13,CD44,5,LGALS3BP,A,-15.8,120.0,-0.13166666666666668,0.2642424242424243
13,CD44,6,GAPDH,B,-11.1,120.0,-0.0925,0.15030303030303038
13,CD44,7,LDHA,B,-16.7,139.0,-0.12014388489208633,0.286060606060606
13,CD44,8,ALDOA,B,-15.1,175.0,-0.08628571428571429,0.2472727272727273
13,CD44,9,ENO1,B,-13.0,100.0,-0.13,0.1963636363636364
13,CD44,10,PKM,B,-11.1,86.0,-0.12906976744186047,0.15030303030303038
14,AXL,1,FN1,A,,,,
14,AXL,2,ITGB1,A,-15.0,125.0,-0.12,0.24484848484848487
14,AXL,3,ANXA2,A,-11.2,105.0,-0.10666666666666666,0.15272727272727282
14,AXL,4,MFGE8,A,-6.6,17.0,-0.388235294117647,0.041212121212121255
14,AXL,5,LGALS3BP,A,-30.0,310.0,-0.0967741935483871,0.6084848484848484
14,AXL,6,GAPDH,B,-13.1,130.0,-0.10076923076923076,0.19878787878787885
14,AXL,7,PGK1,B,-10.8,139.0,-0.07769784172661871,0.14303030303030295
14,AXL,8,LDHA,B,-16.7,155.0,-0.10774193548387097,0.286060606060606
14,AXL,9,TPI1,B,-16.3,157.0,-0.10382165605095542,0.27636363636363637
14,AXL,10,ALDOA,B,-6.9,34.0,-0.20294117647058824,0.048484848484848464
15,MET / c-MET,1,FN1,A,,,,
15,MET / c-MET,2,ITGB1,A,-10.4,59.0,-0.17627118644067796,0.1333333333333333
15,MET / c-MET,3,ANXA2,A,-12.4,85.0,-0.14588235294117646,0.18181818181818177
15,MET / c-MET,4,LGALS3BP,A,-21.4,222.0,-0.09639639639639638,0.3999999999999999
15,MET / c-MET,5,HSP90AA1,A,-9.3,70.0,-0.13285714285714287,0.10666666666666658
15,MET / c-MET,6,GAPDH,B,-16.7,147.0,-0.11360544217687074,0.286060606060606
15,MET / c-MET,7,LDHA,B,-17.1,167.0,-0.10239520958083834,0.2957575757575758
15,MET / c-MET,8,PGK1,B,-29.5,282.0,-0.10460992907801418,0.5963636363636363
15,MET / c-MET,9,ALDOA,B,-14.7,124.0,-0.11854838709677419,0.23757575757575755
15,MET / c-MET,10,ENO1,B,-15.1,126.0,-0.11984126984126983,0.2472727272727273
16,ROR1,1,FN1,A,,,,
16,ROR1,2,ITGB1,A,-20.6,158.0,-0.13037974683544304,0.3806060606060606
16,ROR1,3,ANXA2,A,-19.5,176.0,-0.11079545454545454,0.3539393939393939
16,ROR1,4,LGALS3BP,A,-13.1,152.0,-0.0861842105263158,0.19878787878787885
16,ROR1,5,MFGE8,A,-39.6,422.0,-0.0938388625592417,0.8412121212121211
16,ROR1,6,GAPDH,B,-21.3,228.0,-0.09342105263157895,0.3975757575757576
16,ROR1,7,LDHA,B,-9.2,71.0,-0.1295774647887324,0.10424242424242436
16,ROR1,8,PKM,B,-12.1,108.0,-0.11203703703703703,0.17454545454545456
16,ROR1,9,PGK1,B,-21.7,231.0,-0.09393939393939393,0.40727272727272723
16,ROR1,10,TPI1,B,-24.7,286.0,-0.08636363636363636,0.48
17,RON / MST1R,1,FN1,A,,,,
17,RON / MST1R,2,ITGB1,A,-23.1,199.0,-0.11608040201005025,0.44121212121212117
17,RON / MST1R,3,ANXA2,A,-10.4,71.0,-0.14647887323943662,0.1333333333333333
17,RON / MST1R,4,MFGE8,A,-29.9,282.0,-0.10602836879432624,0.606060606060606
17,RON / MST1R,5,THBS1,A,-26.9,296.0,-0.09087837837837838,0.5333333333333332
17,RON / MST1R,6,GAPDH,B,-10.9,86.0,-0.12674418604651164,0.1454545454545454
17,RON / MST1R,7,ALDOA,B,-14.7,120.0,-0.1225,0.23757575757575755
17,RON / MST1R,8,LDHA,B,-8.2,49.0,-0.16734693877551018,0.08000000000000007
17,RON / MST1R,9,ENO1,B,-16.8,155.0,-0.10838709677419356,0.28848484848484846
17,RON / MST1R,10,TKT,B,-23.4,255.0,-0.09176470588235293,0.4484848484848484
18,CSPG4,1,FN1,A,,,,
18,CSPG4,2,THBS1,A,,,,
18,CSPG4,3,MFGE8,A,,,,
18,CSPG4,4,ITGB1,A,,,,
18,CSPG4,5,LGALS3BP,A,,,,
18,CSPG4,6,GAPDH,B,,,,
18,CSPG4,7,LDHA,B,,,,
18,CSPG4,8,PGK1,B,,,,
18,CSPG4,9,PKM,B,,,,
18,CSPG4,10,ALDOA,B,,,,
19,IGF1R,1,FN1,A,,,,
19,IGF1R,2,ITGB1,A,-14.3,130.0,-0.11,0.2278787878787879
19,IGF1R,3,ANXA2,A,-36.0,407.0,-0.08845208845208845,0.7539393939393939
19,IGF1R,4,MFGE8,A,-32.0,381.0,-0.08398950131233596,0.6569696969696969
19,IGF1R,5,LGALS3BP,A,-18.8,196.0,-0.09591836734693877,0.3369696969696969
19,IGF1R,6,GAPDH,B,-11.1,80.0,-0.13874999999999998,0.15030303030303038
19,IGF1R,7,ENO1,B,-14.5,109.0,-0.13302752293577982,0.23272727272727267
19,IGF1R,8,LDHA,B,-17.4,151.0,-0.1152317880794702,0.303030303030303
19,IGF1R,9,PGK1,B,-69.1,902.0,-0.07660753880266075,1.0
19,IGF1R,10,TPI1,B,-15.6,142.0,-0.10985915492957746,0.2593939393939394
20,CXCR4,1,FN1,A,,,,
20,CXCR4,2,LGALS3BP,A,-14.3,109.0,-0.13119266055045872,0.2278787878787879
20,CXCR4,3,ANXA2,A,-7.0,35.0,-0.2,0.050909090909090904
20,CXCR4,4,MFGE8,A,-16.1,152.0,-0.10592105263157896,0.2715151515151515
20,CXCR4,5,ITGB1,A,-15.3,137.0,-0.11167883211678832,0.2521212121212121
20,CXCR4,6,GAPDH,B,-14.6,143.0,-0.1020979020979021,0.23515151515151522
20,CXCR4,7,LDHA,B,-15.6,149.0,-0.10469798657718121,0.2593939393939394
20,CXCR4,8,PKM,B,-14.6,144.0,-0.10138888888888889,0.23515151515151522
20,CXCR4,9,ALDOA,B,-26.9,287.0,-0.09372822299651568,0.5333333333333332
20,CXCR4,10,ENO1,B,-9.4,73.0,-0.12876712328767123,0.10909090909090913
